 	units	id	index	x	y	z	radius	name-id
1	pixel	96	1	2766.67	2002.67	2	13.33	0
2	pixel	96	2	1165.33	1262.33	1	13.33	0
3	pixel	96	3	1440.00	1683	14	13.33	0
4	pixel	96	4	1247.00	2050	14	13.33	0
5	pixel	96	5	2092	651	17	13.33	0
6	pixel	96	6	1231.00	1406.67	18	13.33	0
7	pixel	96	7	2889	979.67	18	13.33	0
8	pixel	96	8	1299.00	1020.67	23	13.33	0
9	pixel	96	9	2336	1742.67	23	13.33	0
10	pixel	96	10	2104	1620.67	25	13.33	0
11	pixel	96	11	1106.00	1656.67	25	13.33	0
12	pixel	99	1	2486.00	1162	1	13.33	0
13	pixel	99	2	2351.67	1336.67	2	13.33	0
14	pixel	99	3	1362.33	1534.67	1	13.33	0
15	pixel	99	4	1239.00	1582.67	2	13.33	0
16	pixel	99	5	2100.67	1562.67	2	13.33	0
17	pixel	99	6	2033.67	1514.67	2	13.33	0
18	pixel	99	7	1561.67	1184.67	1	13.33	0
19	pixel	99	8	1051.67	675.67	1	13.33	0
20	pixel	99	9	1058.33	976.33	2	13.33	0
21	pixel	99	10	1571.33	773.33	7	13.33	0
22	pixel	99	11	2429.33	676.33	8	13.33	0
23	pixel	99	12	1152.33	1590.33	7	13.33	0
24	pixel	99	13	1900.33	1538.33	7	13.33	0
25	pixel	99	14	1523.33	1220.33	14	13.33	0
26	pixel	99	15	2005.33	1495.33	13	13.33	0
27	pixel	99	16	2372.33	436.33	13	13.33	0
28	pixel	99	17	1249.33	1836	13	13.33	0
29	pixel	99	18	1920.33	1984	13	13.33	0
30	pixel	99	19	2315.33	1249	14	13.33	0
31	pixel	99	20	2288.33	2027	13	13.33	0
32	pixel	99	21	1160.33	1272	14	13.33	0
33	pixel	99	22	2044.33	1898	14	13.33	0
34	pixel	99	23	2325.33	1430	15	13.33	0
35	pixel	99	24	1418.33	1767	15	13.33	0
36	pixel	99	25	1720.33	1882	16	13.33	0
37	pixel	99	26	2272.33	1728	16	13.33	0
38	pixel	99	27	2619.33	539.00	15	13.33	0
39	pixel	99	28	2214.33	1356	18	13.33	0
40	pixel	99	29	2563.33	1515	17	13.33	0
41	pixel	99	30	2593.33	2043	18	13.33	0
42	pixel	99	31	2845.33	534.00	17	13.33	0
43	pixel	99	32	1615.33	1031	23	13.33	0
44	pixel	99	33	1278.33	454.00	23	13.33	0
45	pixel	99	34	2416.33	1168	24	13.33	0
46	pixel	99	35	2407.33	489.00	23	13.33	0
47	pixel	99	36	1554.33	905.00	23	13.33	0
48	pixel	99	37	2837.33	799.00	23	13.33	0
49	pixel	99	38	2282.33	1289	23	13.33	0
50	pixel	99	39	1373.33	1962	24	13.33	0
51	pixel	99	40	1732.33	1831	23	13.33	0
52	pixel	99	41	2673.33	1335	23	13.33	0
53	pixel	99	42	1834.33	1116	25	13.33	0
54	pixel	99	43	1272.33	1165	26	13.33	0
55	pixel	99	44	2044.33	1593	26	13.33	0
56	pixel	102	1	1437.00	692.00	1	13.33	0
57	pixel	102	2	1523.67	727.67	2	13.33	0
58	pixel	102	3	1646.67	1333.67	1	13.33	0
59	pixel	102	4	1761.67	1343.67	2	13.33	0
60	pixel	102	5	2001.67	1125.67	1	13.33	0
61	pixel	102	6	2148.67	1100.67	2	13.33	0
62	pixel	102	7	2602.67	1017.67	1	13.33	0
63	pixel	102	8	2794.67	996.67	2	13.33	0
64	pixel	102	9	2118.67	872.67	1	13.33	0
65	pixel	102	10	2260.67	871.67	2	13.33	0
66	pixel	102	11	1420.67	1760.67	1	13.33	0
67	pixel	102	12	1576.33	1768.67	2	13.33	0
68	pixel	102	13	993.33	2148.67	1	13.33	0
69	pixel	102	14	1157.00	2158.67	2	13.33	0
70	pixel	102	15	1167.00	1151.67	7	13.33	0
71	pixel	102	16	1164.00	1197.67	8	13.33	0
72	pixel	102	17	1650.00	1162.67	7	13.33	0
73	pixel	102	18	1626.00	1280.67	8	13.33	0
74	pixel	102	19	2112	906.67	8	13.33	0
75	pixel	102	20	2051	863.67	7	13.33	0
76	pixel	102	21	2086	1674.67	7	13.33	0
77	pixel	102	22	2138	1708.67	8	13.33	0
78	pixel	102	23	2936	1709.67	7	13.33	0
79	pixel	102	24	3045	1712.67	8	13.33	0
80	pixel	102	25	2683	2243.67	7	13.33	0
81	pixel	102	26	2816	2250.67	8	13.33	0
82	pixel	102	27	1481.00	739.67	13	13.33	0
83	pixel	102	28	1429.00	599.67	14	13.33	0
