 	units	id	index	x	y	z	radius	name-id
1	pixel	97	1	2051	574	2	13.33	0
2	pixel	97	2	1937.67	823.67	1	13.33	0
3	pixel	97	3	1176.33	397.67	3	13.33	0
4	pixel	97	4	1142.00	1905.33	4	13.33	0
5	pixel	97	5	1137.67	1054.33	15	13.33	0
6	pixel	97	6	2961.33	1360.33	16	13.33	0
7	pixel	97	7	1851.33	2178.33	17	13.33	0
8	pixel	100	1	2303	968.00	2	13.33	0
9	pixel	100	2	2673.67	1025.67	2	13.33	0
10	pixel	100	3	1792.67	1549.67	1	13.33	0
11	pixel	100	4	1301.33	2105.67	2	13.33	0
12	pixel	100	5	978.00	1642.67	2	13.33	0
13	pixel	100	6	1471.67	1132.67	1	13.33	0
14	pixel	100	7	1934.67	437.67	3	13.33	0
15	pixel	100	8	2678.67	768.33	4	13.33	0
16	pixel	100	9	2542.67	1732.33	4	13.33	0
17	pixel	100	10	2447.67	2051.33	4	13.33	0
18	pixel	100	11	1498.67	1638.33	4	13.33	0
19	pixel	100	12	1420.67	894.33	6	13.33	0
20	pixel	100	13	1869.67	693.33	5	13.33	0
21	pixel	100	14	1958.67	1802.33	5	13.33	0
22	pixel	100	15	2858.67	1722.33	5	13.33	0
23	pixel	100	16	1458.67	883.33	7	13.33	0
24	pixel	100	17	2452.67	813.33	7	13.33	0
25	pixel	100	18	2369.67	1012.33	8	13.33	0
26	pixel	100	19	1126.67	1389.33	7	13.33	0
27	pixel	100	20	2000.67	1615.33	8	13.33	0
28	pixel	100	21	2669.67	1869.33	8	13.33	0
29	pixel	100	22	1099.67	542.33	9	13.33	0
30	pixel	100	23	1208.67	692.33	12	13.33	0
31	pixel	100	24	1917.67	657.33	11	13.33	0
32	pixel	100	25	2401.67	1328.33	12	13.33	0
33	pixel	100	26	2710.67	1408.33	11	13.33	0
34	pixel	100	27	1784.67	2150.33	11	13.33	0
35	pixel	100	28	1664.67	1341.33	11	13.33	0
36	pixel	100	29	1582.67	575.33	13	13.33	0
37	pixel	100	30	1598.67	1004.33	14	13.33	0
38	pixel	100	31	1526.67	1267.33	15	13.33	0
39	pixel	100	32	2226.67	416.33	16	13.33	0
40	pixel	100	33	1916.67	2120	16	13.33	0
41	pixel	100	34	2012.67	1924	16	13.33	0
42	pixel	100	35	2525.67	346	16	13.33	0
43	pixel	100	36	1612.67	967.67	18	13.33	0
44	pixel	100	37	2144.67	2028.67	17	13.33	0
45	pixel	100	38	2628.67	1660.67	18	13.33	0
46	pixel	100	39	2671.67	1778.67	18	13.33	0
47	pixel	100	40	2501.67	1049.67	20	13.33	0
48	pixel	100	41	2019.67	846.67	19	13.33	0
49	pixel	100	42	2574.67	1428.67	19	13.33	0
50	pixel	103	1	1139.00	1013	1	13.33	0
51	pixel	103	2	1119.67	1136.67	2	13.33	0
52	pixel	103	3	1246.33	593.67	3	13.33	0
53	pixel	103	4	1047.33	363.33	4	13.33	0
54	pixel	103	5	1870.00	899	3	13.33	0
55	pixel	103	6	1708.00	682.00	4	13.33	0
56	pixel	103	7	1594.00	1400.00	3	13.33	0
57	pixel	103	8	1408.00	1197	4	13.33	0
58	pixel	103	9	1806.00	1520.00	3	13.33	0
59	pixel	103	10	1673.00	1301	4	13.33	0
60	pixel	103	11	1710.00	1875.00	4	13.33	0
61	pixel	103	12	1852.00	2092	3	13.33	0
62	pixel	103	13	2395	2202	3	13.33	0
63	pixel	103	14	2264	1994.00	4	13.33	0
64	pixel	103	15	2923	2171	4	13.33	0
65	pixel	103	16	3051.00	2402	3	13.33	0
66	pixel	103	17	2919	2259	3	13.33	0
67	pixel	103	18	2789	1988.00	4	13.33	0
68	pixel	103	19	1455.00	625.00	6	13.33	0
69	pixel	103	20	1737.00	608.00	5	13.33	0
70	pixel	103	21	3172.00	717.00	5	13.33	0
71	pixel	103	22	2922	661.00	6	13.33	0
72	pixel	103	23	2254	1582.00	5	13.33	0
73	pixel	103	24	2047	1578.00	6	13.33	0
74	pixel	103	25	1830.00	1433.00	5	13.33	0
75	pixel	103	26	1624.00	1444.00	6	13.33	0
76	pixel	103	27	2652	1758.00	5	13.33	0
77	pixel	103	28	2434	1724.00	6	13.33	0
78	pixel	103	29	1824.00	2276	6	13.33	0
79	pixel	103	30	2033	2266	5	13.33	0
80	pixel	103	31	2803	2053	5	13.33	0
81	pixel	103	32	2605	2025.00	6	13.33	0
82	pixel	103	33	2551	1120	5	13.33	0
83	pixel	103	34	2321	1134	6	13.33	0
84	pixel	103	35	1110.00	686.00	7	13.33	0
85	pixel	103	36	1087.00	655.00	8	13.33	0
86	pixel	103	37	2043	485.00	7	13.33	0
87	pixel	103	38	2037	427.00	8	13.33	0
88	pixel	103	39	1995.00	1827.00	7	13.33	0
89	pixel	103	40	2035	1750.00	8	13.33	0
90	pixel	103	41	1796.00	2119	7	13.33	0
91	pixel	103	42	1829.00	2076	8	13.33	0
92	pixel	103	43	2705	2465	7	13.33	0
93	pixel	103	44	2734	2316	8	13.33	0
94	pixel	103	45	1339.00	354.00	10	13.33	0
95	pixel	103	46	1208.00	289.67	9	13.33	0
96	pixel	103	47	1429.00	1771.33	10	13.33	0
97	pixel	103	48	1313.00	1774.33	9	13.33	0
98	pixel	103	49	2299	777.33	11	13.33	0
99	pixel	103	50	2244	704.33	12	13.33	0
100	pixel	103	51	2205	1386.33	11	13.33	0
101	pixel	103	52	2192	1313.33	12	13.33	0
102	pixel	103	53	1740.00	1555.33	11	13.33	0
103	pixel	103	54	1694.00	1490.33	12	13.33	0
104	pixel	103	55	1947.00	1515.33	11	13.33	0
105	pixel	103	56	1907.00	1443.33	12	13.33	0
106	pixel	103	57	2060	2178.33	11	13.33	0
107	pixel	103	58	2064	2070.33	12	13.33	0
108	pixel	103	59	1158.00	423.33	13	13.33	0
109	pixel	103	60	1108.00	398.33	14	13.33	0
110	pixel	103	61	1409.00	1412.33	13	13.33	0
111	pixel	103	62	1452.00	1346.33	14	13.33	0
112	pixel	103	63	1374.00	1690.33	13	13.33	0
113	pixel	103	64	1397.00	1627.33	14	13.33	0
114	pixel	103	65	1212.00	1974.33	13	13.33	0
115	pixel	103	66	1285.00	1899.33	14	13.33	0
116	pixel	103	67	1432.00	689.33	16	13.33	0
117	pixel	103	68	1314.00	768.33	15	13.33	0
118	pixel	103	69	2201	1180.33	15	13.33	0
119	pixel	103	70	2366	1065.33	16	13.33	0
120	pixel	103	71	2571	443.33	15	13.33	0
121	pixel	103	72	2746	354.33	16	13.33	0
122	pixel	103	73	2444	1531.33	15	13.33	0
123	pixel	103	74	2658	1388.33	16	13.33	0
124	pixel	103	75	2410	1877.33	15	13.33	0
125	pixel	103	76	2602	1754.33	16	13.33	0
126	pixel	103	77	1140.00	2262.33	15	13.33	0
127	pixel	103	78	1322.00	2150.33	16	13.33	0
128	pixel	103	79	1532.00	1904.33	15	13.33	0
129	pixel	103	80	1738.00	1775.33	16	13.33	0
130	pixel	103	81	2314	1980.33	16	13.33	0
131	pixel	103	82	2126	2130.33	15	13.33	0
132	pixel	103	83	2082	1120.33	15	13.33	0
133	pixel	103	84	2239	968.33	16	13.33	0
134	pixel	103	85	1693.00	416.33	17	13.33	0
135	pixel	103	86	1645.00	593.33	17	13.33	0
136	pixel	103	87	1726.00	430.33	18	13.33	0
137	pixel	103	88	1682.00	589.33	18	13.33	0
138	pixel	103	89	2120	913.33	17	13.33	0
139	pixel	103	90	2193	889.33	18	13.33	0
140	pixel	103	91	1685.00	1426.33	17	13.33	0
141	pixel	103	92	1769.00	1436.33	18	13.33	0
142	pixel	103	93	1084.00	1334.33	17	13.33	0
143	pixel	103	94	1110.00	1327.33	18	13.33	0
144	pixel	103	95	1368.00	1854.33	17	13.33	0
145	pixel	103	96	1417.00	1871.33	18	13.33	0
146	pixel	103	97	1010.00	1889.33	17	13.33	0
147	pixel	103	98	1100.67	1872.33	18	13.33	0
148	pixel	103	99	2410.67	1988.33	17	13.33	0
149	pixel	103	100	2482.67	1991.33	18	13.33	0
150	pixel	103	101	2951.67	1438.33	18	13.33	0
151	pixel	103	102	2846.67	1430.33	17	13.33	0
152	pixel	103	103	1985.67	2305.33	17	13.33	0
153	pixel	103	104	2118.67	2276.33	18	13.33	0
154	pixel	103	105	1566.67	832.33	20	13.33	0
155	pixel	103	106	1552.67	1026.33	20	13.33	0
156	pixel	103	107	1541.67	680.33	19	13.33	0
157	pixel	103	108	1550.67	870.33	19	13.33	0
158	pixel	103	109	1690.67	383.33	19	13.33	0
159	pixel	103	110	1668.67	590.33	20	13.33	0
160	pixel	103	111	1058.67	737.33	20	13.33	0
161	pixel	103	112	1074.67	592.33	19	13.33	0
162	pixel	103	113	1427.67	1000.33	19	13.33	0
163	pixel	103	114	1458.67	1166.33	20	13.33	0
164	pixel	103	115	1945.67	1226.33	20	13.33	0
165	pixel	103	116	1901.67	1103.33	19	13.33	0
166	pixel	103	117	2003.67	359.33	19	13.33	0
167	pixel	103	118	2041.67	508.33	20	13.33	0
168	pixel	103	119	1574.67	1809.33	19	13.33	0
169	pixel	103	120	1633.67	1949.33	20	13.33	0
170	pixel	103	121	2223.67	2158.33	19	13.33	0
171	pixel	103	122	2293.67	2281.33	20	13.33	0
172	pixel	106	1	2948.33	373.33	5	13.33	0
173	pixel	106	2	2681	342	6	13.33	0
174	pixel	106	3	2358.67	421.67	6	13.33	0
175	pixel	106	4	2611.33	441.67	5	13.33	0
176	pixel	106	5	2620.33	1081.67	5	13.33	0
177	pixel	106	6	2364.33	1038.67	6	13.33	0
178	pixel	106	7	1212.33	1034.67	7	13.33	0
179	pixel	106	8	1208.00	999.67	8	13.33	0
180	pixel	106	9	1661.67	2256.67	10	13.33	0
181	pixel	106	10	1488.67	2208.67	9	13.33	0
182	pixel	106	11	2289.67	2025.67	11	13.33	0
183	pixel	106	12	2298.67	1887.67	12	13.33	0
184	pixel	106	13	985.67	1878.67	13	13.33	0
185	pixel	106	14	1022.33	1800.67	14	13.33	0
