 	units	id	index	x	y	z	radius	name-id
1	pixel	48	1	2773	1271	6	13.33	0
2	pixel	48	2	1669.67	1609.67	2	13.33	0
3	pixel	48	3	1364.33	2020.67	2	13.33	0
4	pixel	48	4	2923	612.67	2	13.33	0
5	pixel	48	5	2603	1030.33	5	13.33	0
6	pixel	48	6	1073	2216.33	10	13.33	0
7	pixel	51	1	2462	1188	1	13.33	0
8	pixel	51	2	2303.67	885.67	1	13.33	0
9	pixel	51	3	1177.33	1526.33	1	13.33	0
10	pixel	51	4	1671.00	1980.33	2	13.33	0
11	pixel	51	5	2359	1424.33	2	13.33	0
12	pixel	51	6	2423	1356.33	2	13.33	0
13	pixel	51	7	2272	2105.33	3	13.33	0
14	pixel	51	8	1257.00	740.33	6	13.33	0
15	pixel	51	9	1432.00	1014.00	5	13.33	0
16	pixel	51	10	1869.00	990.00	6	13.33	0
17	pixel	51	11	2344	931.00	6	13.33	0
18	pixel	51	12	2970	928.00	6	13.33	0
19	pixel	51	13	1915.00	1596	5	13.33	0
20	pixel	51	14	2763	1589	5	13.33	0
21	pixel	51	15	2420	961.00	7	13.33	0
22	pixel	51	16	1968.00	1604	8	13.33	0
23	pixel	51	17	1708.00	2046	8	13.33	0
24	pixel	51	18	2339	1881	9	13.33	0
25	pixel	54	1	1053	1285.00	1	13.33	0
26	pixel	54	2	1112.67	1270.67	2	13.33	0
27	pixel	54	3	2546.67	1269.33	1	13.33	0
28	pixel	54	4	2680.67	1213.00	2	13.33	0
29	pixel	54	5	2766.67	1084.67	1	13.33	0
30	pixel	54	6	2879.67	1072.33	2	13.33	0
31	pixel	54	7	1018.67	1816.00	1	13.33	0
32	pixel	54	8	1091.33	1800.00	2	13.33	0
33	pixel	54	9	1792.33	1580.00	1	13.33	0
34	pixel	54	10	1870.33	1536.00	2	13.33	0
35	pixel	54	11	2542.33	1576.00	1	13.33	0
36	pixel	54	12	2694.33	1497.00	2	13.33	0
37	pixel	54	13	2327.33	1253.00	3	13.33	0
38	pixel	54	14	2424.33	1157.00	4	13.33	0
39	pixel	54	15	2959.33	1228.00	4	13.33	0
40	pixel	54	16	2866.33	1344.00	3	13.33	0
41	pixel	54	17	2931.33	1814.00	4	13.33	0
42	pixel	54	18	2900.33	1920.00	4	13.33	0
43	pixel	54	19	2790.33	1945.00	3	13.33	0
44	pixel	54	20	2782.33	2025.00	3	13.33	0
45	pixel	54	21	2897.33	2162.00	3	13.33	0
46	pixel	54	22	2993.33	2042.00	4	13.33	0
47	pixel	54	23	2492.33	1773.00	4	13.33	0
48	pixel	54	24	2365.33	1857.00	3	13.33	0
49	pixel	54	25	1809.33	1804.00	4	13.33	0
50	pixel	54	26	1702.33	1955.00	3	13.33	0
51	pixel	54	27	2258.33	533.00	5	13.33	0
52	pixel	54	28	2337.33	508.67	6	13.33	0
53	pixel	54	29	2148.33	1585.33	5	13.33	0
54	pixel	54	30	2224.33	1488.33	6	13.33	0
55	pixel	54	31	2707.33	1828.33	5	13.33	0
56	pixel	54	32	2830.33	1739.33	6	13.33	0
57	pixel	54	33	2876.33	2016.33	6	13.33	0
58	pixel	54	34	2782.33	2074.33	5	13.33	0
59	pixel	54	35	2161.33	2346.33	5	13.33	0
60	pixel	54	36	2204.33	2258.33	6	13.33	0
61	pixel	54	37	2435.33	2317.33	5	13.33	0
62	pixel	54	38	2557.33	2264.33	6	13.33	0
63	pixel	54	39	1678.33	793.33	7	13.33	0
64	pixel	54	40	1415.33	840.33	8	13.33	0
65	pixel	54	41	1410.33	936.33	7	13.33	0
66	pixel	54	42	1131.33	979.33	8	13.33	0
67	pixel	54	43	1776.33	1509.33	9	13.33	0
68	pixel	54	44	1880.33	1347.33	10	13.33	0
69	pixel	54	45	1316.33	1587.33	9	13.33	0
70	pixel	54	46	1393.33	1507.33	10	13.33	0
71	pixel	54	47	2163.33	1475.33	10	13.33	0
72	pixel	54	48	2022.33	1527.33	9	13.33	0
73	pixel	54	49	2060.33	2353.33	9	13.33	0
74	pixel	54	50	2200.33	2220.33	10	13.33	0
75	pixel	54	51	2789.33	2218.33	9	13.33	0
76	pixel	54	52	2957.33	2090.33	10	13.33	0
77	pixel	57	1	1657.00	852.00	1	13.33	0
78	pixel	57	2	1708.67	792.67	2	13.33	0
79	pixel	57	3	1207.67	642.33	2	13.33	0
80	pixel	57	4	1053.33	648.00	6	13.33	0
81	pixel	57	5	958.00	738.00	5	13.33	0
82	pixel	57	6	1743.67	1681	6	13.33	0
83	pixel	57	7	1694.67	1743	5	13.33	0
