 	units	id	index	x	y	z	radius	name-id
1	pixel	78	1	2069	1281	6	13.33	0
2	pixel	78	2	2524.67	634.67	7	13.33	0
3	pixel	78	3	1509.67	1177.33	10	13.33	0
4	pixel	78	4	2099.33	586.33	10	13.33	0
5	pixel	78	5	2408.33	584.00	10	13.33	0
6	pixel	78	6	2796.33	1366.67	10	13.33	0
7	pixel	78	7	2768.33	1433.67	9	13.33	0
8	pixel	78	8	2541.33	1779.67	10	13.33	0
9	pixel	78	9	1974.33	556.67	16	13.33	0
10	pixel	78	10	1489.33	1660.33	15	13.33	0
11	pixel	81	1	2711	2055	1	13.33	0
12	pixel	81	2	1669.67	1613.67	6	13.33	0
13	pixel	81	3	1110.33	750.33	8	13.33	0
14	pixel	81	4	2174	839.00	7	13.33	0
15	pixel	81	5	2079	384.00	7	13.33	0
16	pixel	81	6	1205.00	1147.67	8	13.33	0
17	pixel	81	7	2636	1377.67	7	13.33	0
18	pixel	81	8	2467	1443.67	7	13.33	0
19	pixel	81	9	2621	923.67	7	13.33	0
20	pixel	81	10	2094	1009.67	10	13.33	0
21	pixel	81	11	2407	1872.67	10	13.33	0
22	pixel	81	12	1282.00	1861.67	9	13.33	0
23	pixel	81	13	2749	1988.67	10	13.33	0
24	pixel	81	14	1655.00	735.67	14	13.33	0
25	pixel	81	15	1637.00	1311.67	14	13.33	0
26	pixel	81	16	2109	422.67	14	13.33	0
27	pixel	81	17	1410	1075.67	15	13.33	0
28	pixel	81	18	1584.00	1071.67	16	13.33	0
29	pixel	81	19	2580	1036.67	15	13.33	0
30	pixel	81	20	2378	1022.67	15	13.33	0
31	pixel	81	21	1378	1487.67	15	13.33	0
32	pixel	81	22	1074.00	1070.67	15	13.33	0
33	pixel	81	23	1039.67	1626.67	16	13.33	0
34	pixel	81	24	2912.33	2111.67	15	13.33	0
35	pixel	81	25	2043.33	1369.67	17	13.33	0
36	pixel	81	26	1082.33	1628.67	17	13.33	0
37	pixel	81	27	1411.33	1521.67	17	13.33	0
38	pixel	81	28	2318.33	543.67	20	13.33	0
39	pixel	81	29	2707.33	920.67	19	13.33	0
40	pixel	84	1	1372.00	612.00	1	13.33	0
41	pixel	84	2	1341.67	704.67	2	13.33	0
42	pixel	84	3	2118.33	939.67	1	13.33	0
43	pixel	84	4	2104.33	1003.67	2	13.33	0
44	pixel	84	5	1997.33	1200.67	2	13.33	0
45	pixel	84	6	1982.33	1128.67	1	13.33	0
46	pixel	84	7	1491.33	1990.67	1	13.33	0
47	pixel	84	8	1495.33	2052.67	2	13.33	0
48	pixel	84	9	2815.33	1527.67	1	13.33	0
49	pixel	84	10	2848.33	1541.67	2	13.33	0
50	pixel	84	11	1879.33	2288.67	1	13.33	0
51	pixel	84	12	1924.33	2317.67	2	13.33	0
52	pixel	84	13	2504.33	1125.67	3	13.33	0
53	pixel	84	14	2432.33	955.67	4	13.33	0
54	pixel	84	15	2611.33	435.67	3	13.33	0
55	pixel	84	16	2528.33	245.33	4	13.33	0
56	pixel	84	17	2490.33	2239	3	13.33	0
57	pixel	84	18	2496.33	2087	4	13.33	0
58	pixel	84	19	2222.33	2417	3	13.33	0
59	pixel	84	20	2227.33	2265	4	13.33	0
60	pixel	84	21	1068.33	698	5	13.33	0
61	pixel	84	22	730.00	572.00	6	13.33	0
62	pixel	84	23	1134.67	1191	5	13.33	0
63	pixel	84	24	784.67	1068	6	13.33	0
64	pixel	84	25	2542.67	1326.00	5	13.33	0
65	pixel	84	26	2262.67	1160	6	13.33	0
