 	units	id	index	x	y	z	radius	name-id
1	pixel	66	1	1739	1145	5	13.33	0
2	pixel	66	2	2670.67	928.67	10	13.33	0
3	pixel	66	3	1961.67	928.33	12	13.33	0
4	pixel	66	4	2814.67	909	12	13.33	0
5	pixel	66	5	2634.67	657.67	14	13.33	0
6	pixel	66	6	2449.67	821.33	14	13.33	0
7	pixel	69	1	1782.00	1238	1	13.33	0
8	pixel	69	2	2145.67	1832.67	2	13.33	0
9	pixel	69	3	2090.67	1596.67	2	13.33	0
10	pixel	69	4	1307.67	1726.67	2	13.33	0
11	pixel	69	5	2839.33	1567.67	2	13.33	0
12	pixel	69	6	2426.33	1428.67	1	13.33	0
13	pixel	69	7	1994.33	652.67	1	13.33	0
14	pixel	69	8	1850.33	844.33	4	13.33	0
15	pixel	69	9	1320.33	1943.33	3	13.33	0
16	pixel	69	10	1602.33	1832.33	3	13.33	0
17	pixel	69	11	1938.33	1212.33	6	13.33	0
18	pixel	69	12	1493.33	612.33	6	13.33	0
19	pixel	69	13	2346.33	625	6	13.33	0
20	pixel	69	14	2911.33	1223	5	13.33	0
21	pixel	69	15	1297.33	1488	6	13.33	0
22	pixel	69	16	1206.00	1868	5	13.33	0
23	pixel	69	17	1873.67	890	8	13.33	0
24	pixel	69	18	1301.67	1588	8	13.33	0
25	pixel	69	19	2498.67	1568	7	13.33	0
26	pixel	69	20	1332.67	995	10	13.33	0
27	pixel	69	21	2272.67	1010	10	13.33	0
28	pixel	69	22	2421.67	722	10	13.33	0
29	pixel	69	23	2587.67	819	9	13.33	0
30	pixel	69	24	2050.67	1840	9	13.33	0
31	pixel	69	25	2306.67	395.00	11	13.33	0
32	pixel	69	26	2723.67	402.67	11	13.33	0
33	pixel	69	27	2788.67	686.67	11	13.33	0
34	pixel	69	28	2277.67	1263.67	12	13.33	0
35	pixel	69	29	1091.67	455.67	12	13.33	0
36	pixel	69	30	1745.33	727.67	13	13.33	0
37	pixel	72	1	1887.00	990.00	1	13.33	0
38	pixel	72	2	1894.67	1025.67	2	13.33	0
39	pixel	72	3	1266.67	1083.67	1	13.33	0
40	pixel	72	4	1250.33	1154.67	2	13.33	0
41	pixel	72	5	2708	1113.67	1	13.33	0
42	pixel	72	6	2734	1086.67	2	13.33	0
43	pixel	72	7	2170.00	1537.67	1	13.33	0
44	pixel	72	8	2213	1575.67	2	13.33	0
45	pixel	72	9	1277.00	2025.67	1	13.33	0
46	pixel	72	10	1341.00	2059.67	2	13.33	0
47	pixel	72	11	1835.00	932.67	3	13.33	0
48	pixel	72	12	1959.00	993.33	4	13.33	0
49	pixel	72	13	1931.00	480.33	4	13.33	0
50	pixel	72	14	1802.00	447	3	13.33	0
51	pixel	72	15	1164.00	2193.67	3	13.33	0
52	pixel	72	16	1311.67	2322.67	4	13.33	0
53	pixel	72	17	2906.67	942.67	5	13.33	0
54	pixel	72	18	2745.67	972.67	6	13.33	0
55	pixel	72	19	1280.67	1465.67	5	13.33	0
56	pixel	72	20	1146.67	1571.67	6	13.33	0
57	pixel	72	21	2020.33	1624.67	6	13.33	0
58	pixel	72	22	2191.33	1515.67	5	13.33	0
59	pixel	72	23	1586.33	2184.67	5	13.33	0
60	pixel	72	24	1494.33	2252.67	6	13.33	0
61	pixel	72	25	1357.33	763.67	7	13.33	0
62	pixel	72	26	1336.33	907.67	8	13.33	0
63	pixel	72	27	1297.33	1441.67	8	13.33	0
64	pixel	72	28	1320.33	1294.67	7	13.33	0
65	pixel	72	29	2499.33	702.67	7	13.33	0
66	pixel	72	30	2514.33	733.67	8	13.33	0
67	pixel	72	31	2634.33	551.67	8	13.33	0
