 	units	id	index	x	y	z	radius	name-id
1	pixel	88	1	1196	842	2	13.33	0
2	pixel	88	2	1823.67	1337.67	1	13.33	0
3	pixel	88	3	2654.67	608.67	6	13.33	0
4	pixel	88	4	1555.67	941.33	7	13.33	0
5	pixel	88	5	2386.67	1075.33	8	13.33	0
6	pixel	88	6	2366.67	954.33	8	13.33	0
7	pixel	88	7	1859.67	1233.33	8	13.33	0
8	pixel	88	8	1565.67	712.33	15	13.33	0
9	pixel	88	9	2502.67	2062.33	20	13.33	0
10	pixel	91	1	1300	676.00	1	13.33	0
11	pixel	91	2	1282.67	613.67	2	13.33	0
12	pixel	91	3	1137.33	1348.33	2	13.33	0
13	pixel	91	4	1184	1091.33	1	13.33	0
14	pixel	91	5	2049	543.33	2	13.33	0
15	pixel	91	6	2013.00	1414	1	13.33	0
16	pixel	91	7	1034	1459.00	1	13.33	0
17	pixel	91	8	1856.67	2183	2	13.33	0
18	pixel	91	9	2354.67	2051	1	13.33	0
19	pixel	91	10	2681.67	1863.00	2	13.33	0
20	pixel	91	11	1051.67	1363	1	13.33	0
21	pixel	91	12	2465.67	886.00	3	13.33	0
22	pixel	91	13	1835.67	1761.00	4	13.33	0
23	pixel	91	14	1555.67	1657.00	4	13.33	0
24	pixel	91	15	2873.67	1806.00	3	13.33	0
25	pixel	91	16	1166.67	1964.00	3	13.33	0
26	pixel	91	17	1360.67	2002.00	3	13.33	0
27	pixel	91	18	2117.67	1023	6	13.33	0
28	pixel	91	19	2624.67	642.00	5	13.33	0
29	pixel	91	20	1152.67	1037	5	13.33	0
30	pixel	91	21	2545.67	1329	5	13.33	0
31	pixel	91	22	2630.67	1424	6	13.33	0
32	pixel	91	23	2082.67	2299	6	13.33	0
33	pixel	91	24	2880.67	2111	6	13.33	0
34	pixel	91	25	1925.67	421.00	5	13.33	0
35	pixel	91	26	1432.67	616.67	7	13.33	0
36	pixel	91	27	1360.67	783.67	8	13.33	0
37	pixel	91	28	1027.67	332.67	8	13.33	0
38	pixel	91	29	1940.33	918.33	8	13.33	0
39	pixel	91	30	2741.33	462.33	8	13.33	0
40	pixel	91	31	2783.33	833.33	7	13.33	0
41	pixel	91	32	1242.33	1462.33	8	13.33	0
42	pixel	91	33	2683.33	1276.33	7	13.33	0
43	pixel	91	34	1176.33	2102.33	8	13.33	0
44	pixel	91	35	1623.33	2161.33	7	13.33	0
45	pixel	91	36	1184.33	1721.33	7	13.33	0
46	pixel	91	37	2261.33	1387.33	7	13.33	0
47	pixel	91	38	1256.33	688.33	11	13.33	0
48	pixel	91	39	1922.33	376.33	11	13.33	0
49	pixel	91	40	1183.33	1021.33	12	13.33	0
50	pixel	91	41	1342.33	451.33	16	13.33	0
51	pixel	91	42	1475.33	849.33	15	13.33	0
52	pixel	91	43	1555.33	991.33	15	13.33	0
53	pixel	91	44	2475.33	493.33	15	13.33	0
54	pixel	91	45	2216.33	887.33	16	13.33	0
55	pixel	91	46	1346.33	2052.33	16	13.33	0
56	pixel	91	47	1723.33	1987.33	16	13.33	0
57	pixel	91	48	1687.33	1938.33	15	13.33	0
58	pixel	91	49	2127.33	1600.33	15	13.33	0
59	pixel	91	50	1671.33	1416.33	15	13.33	0
60	pixel	91	51	1074.33	1350.33	15	13.33	0
61	pixel	91	52	1740.33	2226.33	16	13.33	0
62	pixel	91	53	2300.33	2082.33	16	13.33	0
63	pixel	91	54	2227.33	1718.33	15	13.33	0
64	pixel	91	55	2585.33	1951.33	15	13.33	0
65	pixel	91	56	2639.33	1698.33	15	13.33	0
66	pixel	91	57	2512.33	942.33	15	13.33	0
67	pixel	91	58	1262.33	1924.33	17	13.33	0
68	pixel	91	59	1297.33	708.33	19	13.33	0
69	pixel	91	60	1007.33	583.33	20	13.33	0
70	pixel	91	61	2846	965.33	19	13.33	0
71	pixel	91	62	2084	501.33	19	13.33	0
72	pixel	91	63	1972	1838.33	20	13.33	0
73	pixel	91	64	1570	2254.33	19	13.33	0
74	pixel	91	65	2525	632.33	20	13.33	0
75	pixel	91	66	2932	2260.33	20	13.33	0
76	pixel	91	67	2303	987.33	22	13.33	0
77	pixel	91	68	1065	568.33	22	13.33	0
78	pixel	91	69	2174	1447.33	22	13.33	0
79	pixel	91	70	2861	1220.33	21	13.33	0
80	pixel	94	1	1452	430	1	13.33	0
81	pixel	94	2	1388.67	424.67	2	13.33	0
82	pixel	94	3	1877.33	764.33	1	13.33	0
83	pixel	94	4	1780.33	741.33	2	13.33	0
84	pixel	94	5	1048.33	908.33	1	13.33	0
85	pixel	94	6	1005.00	931.33	2	13.33	0
86	pixel	94	7	2801.67	981.33	1	13.33	0
87	pixel	94	8	2705.67	860.33	2	13.33	0
88	pixel	94	9	2640.67	1129.33	2	13.33	0
89	pixel	94	10	2736.67	1253.33	1	13.33	0
90	pixel	94	11	1259.67	1538.33	1	13.33	0
91	pixel	94	12	1263.67	1584.33	2	13.33	0
92	pixel	94	13	1409.67	1889.33	1	13.33	0
93	pixel	94	14	1380.67	1980.33	2	13.33	0
94	pixel	94	15	2053.67	1597.33	1	13.33	0
95	pixel	94	16	1996.67	1617.33	2	13.33	0
96	pixel	94	17	1567.67	1360.33	1	13.33	0
97	pixel	94	18	1532.67	1405.33	2	13.33	0
98	pixel	94	19	2641.67	1750.33	1	13.33	0
99	pixel	94	20	2556.67	1706.33	2	13.33	0
100	pixel	94	21	2596.67	1382.33	2	13.33	0
101	pixel	94	22	2742.67	1448.33	1	13.33	0
102	pixel	94	23	2568.67	1530.33	1	13.33	0
103	pixel	94	24	2516.67	1469.33	2	13.33	0
104	pixel	94	25	1656.67	2358.33	2	13.33	0
105	pixel	94	26	1732.67	2281.33	1	13.33	0
106	pixel	94	27	2513.67	1986.33	2	13.33	0
107	pixel	94	28	2572.67	2032.33	1	13.33	0
108	pixel	94	29	2826.67	2133.33	1	13.33	0
109	pixel	94	30	2792.67	2049.33	2	13.33	0
110	pixel	94	31	2375.67	727.33	4	13.33	0
111	pixel	94	32	2048.67	772.33	3	13.33	0
112	pixel	94	33	2927.67	574.33	4	13.33	0
113	pixel	94	34	2509.67	645.33	3	13.33	0
114	pixel	94	35	3006.67	682.33	4	13.33	0
115	pixel	94	36	2635.67	794.33	3	13.33	0
116	pixel	94	37	2783.67	862.33	3	13.33	0
117	pixel	94	38	3144.67	756.33	4	13.33	0
118	pixel	94	39	3018.67	992.33	4	13.33	0
119	pixel	94	40	2691.67	1105.33	3	13.33	0
120	pixel	94	41	3009.67	407.33	4	13.33	0
121	pixel	94	42	2652.67	496	3	13.33	0
122	pixel	94	43	2081.67	1498.00	4	13.33	0
123	pixel	94	44	1739.67	1508.00	3	13.33	0
124	pixel	94	45	2329.67	1273	4	13.33	0
125	pixel	94	46	1986.67	1330	3	13.33	0
126	pixel	94	47	1120.67	1256	4	13.33	0
127	pixel	94	48	741.67	1212	3	13.33	0
128	pixel	94	49	2852.33	1281	4	13.33	0
129	pixel	94	50	2505.33	1399	3	13.33	0
130	pixel	94	51	1792.33	2249	4	13.33	0
131	pixel	94	52	1420.33	2278	3	13.33	0
132	pixel	94	53	1475.33	1241	4	13.33	0
133	pixel	94	54	1123.33	1253	3	13.33	0
134	pixel	94	55	1083.33	843.00	5	13.33	0
135	pixel	94	56	1196.33	1255	6	13.33	0
136	pixel	94	57	1607.33	1296	6	13.33	0
137	pixel	94	58	1365.33	935.00	5	13.33	0
138	pixel	94	59	1156.33	391	5	13.33	0
139	pixel	94	60	1299.33	726.67	6	13.33	0
140	pixel	94	61	971.33	116.67	5	13.33	0
141	pixel	94	62	1111.33	496.33	6	13.33	0
142	pixel	94	63	1617.33	475.33	6	13.33	0
143	pixel	94	64	1476.33	195.33	5	13.33	0
144	pixel	94	65	1387.33	377.33	5	13.33	0
145	pixel	94	66	1508.33	688.33	6	13.33	0
