 	units	id	index	x	y	z	radius	name-id
1	pixel	63	1	1295.00	1643	4	13.33	0
2	pixel	63	2	2463.67	1803.67	3	13.33	0
3	pixel	63	3	2072.67	656.67	6	13.33	0
4	pixel	63	4	2636.67	397.33	6	13.33	0
5	pixel	63	5	1431.67	2249	5	13.33	0
6	pixel	63	6	2555.67	1793	10	13.33	0
7	pixel	63	7	1311.67	2042	9	13.33	0
8	pixel	63	8	1088.67	784	9	13.33	0
9	pixel	66	1	1476.00	818.00	2	13.33	0
10	pixel	66	2	2623.67	898.67	2	13.33	0
11	pixel	66	3	2259.67	1259.67	2	13.33	0
12	pixel	66	4	2582.67	1455.67	1	13.33	0
13	pixel	66	5	2095.67	2300.67	2	13.33	0
14	pixel	66	6	1495.67	2124.67	1	13.33	0
15	pixel	66	7	1656.67	635.67	3	13.33	0
16	pixel	66	8	1475.67	705.33	4	13.33	0
17	pixel	66	9	2651.33	821.33	3	13.33	0
18	pixel	66	10	1036.33	399.33	4	13.33	0
19	pixel	66	11	1728.00	1265	4	13.33	0
20	pixel	66	12	2312	932	6	13.33	0
21	pixel	66	13	1909.00	560	5	13.33	0
22	pixel	66	14	2915	834.00	5	13.33	0
23	pixel	66	15	2544	655.00	5	13.33	0
24	pixel	66	16	1580.00	1933.00	6	13.33	0
25	pixel	66	17	1214.00	1810.00	6	13.33	0
26	pixel	66	18	1150.00	1685.00	6	13.33	0
27	pixel	66	19	1250.00	1875.00	5	13.33	0
28	pixel	66	20	2543	2158	6	13.33	0
29	pixel	66	21	2807	767.00	7	13.33	0
30	pixel	66	22	1710.00	1307	7	13.33	0
31	pixel	66	23	2037.00	1087	7	13.33	0
32	pixel	66	24	2526	1812.00	8	13.33	0
33	pixel	66	25	1597.00	2121	7	13.33	0
34	pixel	66	26	2019.00	2178	8	13.33	0
35	pixel	66	27	1714.00	2007.00	7	13.33	0
36	pixel	66	28	1110.00	407.00	8	13.33	0
37	pixel	66	29	1390.00	1183	8	13.33	0
38	pixel	66	30	1575.00	1021	9	13.33	0
39	pixel	66	31	1679.00	640.00	9	13.33	0
40	pixel	66	32	2556	886	9	13.33	0
41	pixel	66	33	1050.00	1833.00	9	13.33	0
42	pixel	66	34	1974.00	2206	9	13.33	0
43	pixel	66	35	2163	1933.00	10	13.33	0
44	pixel	66	36	1105.00	1421.00	9	13.33	0
45	pixel	66	37	1671.00	451.00	11	13.33	0
46	pixel	66	38	2162	1049	12	13.33	0
47	pixel	66	39	2336	736.00	12	13.33	0
48	pixel	66	40	2563	379.00	12	13.33	0
49	pixel	66	41	2821	356.67	12	13.33	0
50	pixel	66	42	2744	404.33	11	13.33	0
51	pixel	66	43	1700.00	1330.33	12	13.33	0
52	pixel	66	44	1515.00	1877.33	12	13.33	0
53	pixel	66	45	1767.00	2050.33	12	13.33	0
54	pixel	66	46	2279	2178.33	11	13.33	0
55	pixel	66	47	1247.00	458.33	13	13.33	0
56	pixel	66	48	2043.00	1214.33	13	13.33	0
57	pixel	66	49	2960	406.33	13	13.33	0
58	pixel	66	50	2143	447.33	14	13.33	0
59	pixel	66	51	1498.00	1624.33	14	13.33	0
60	pixel	66	52	2724	2253.33	13	13.33	0
61	pixel	69	1	1519.00	578	1	13.33	0
62	pixel	69	2	1515.67	594.67	2	13.33	0
63	pixel	69	3	1220.33	878.67	2	13.33	0
64	pixel	69	4	1227.00	845.67	1	13.33	0
65	pixel	69	5	1429.00	931.67	1	13.33	0
66	pixel	69	6	1419.00	949.67	2	13.33	0
67	pixel	69	7	1658.00	1079.67	2	13.33	0
68	pixel	69	8	1646.00	1042.67	1	13.33	0
69	pixel	69	9	2089	785.67	1	13.33	0
70	pixel	69	10	2115	762.67	2	13.33	0
71	pixel	69	11	1866.00	378.67	1	13.33	0
72	pixel	69	12	1874.00	310.33	2	13.33	0
73	pixel	69	13	1374.00	827	1	13.33	0
74	pixel	69	14	1361.00	836	2	13.33	0
75	pixel	69	15	1234.00	1472	1	13.33	0
76	pixel	69	16	1242.00	1513	2	13.33	0
77	pixel	69	17	2129	1628	1	13.33	0
78	pixel	69	18	2146	1613	2	13.33	0
79	pixel	69	19	1786.00	1892	1	13.33	0
80	pixel	69	20	1815.00	1908	2	13.33	0
81	pixel	69	21	1397.00	1932	1	13.33	0
82	pixel	69	22	1411.00	1993	2	13.33	0
83	pixel	69	23	1601.00	2322	1	13.33	0
84	pixel	69	24	1637.00	2376	2	13.33	0
85	pixel	69	25	2378	2250	1	13.33	0
86	pixel	69	26	2455	2246	2	13.33	0
87	pixel	69	27	2298	2332	1	13.33	0
88	pixel	69	28	2314	2277	2	13.33	0
89	pixel	69	29	2400	417	1	13.33	0
90	pixel	69	30	2387	356	2	13.33	0
91	pixel	69	31	1371.00	599	3	13.33	0
92	pixel	69	32	1242.00	567	4	13.33	0
93	pixel	69	33	1341.00	905	3	13.33	0
94	pixel	69	34	1305.00	860	4	13.33	0
95	pixel	69	35	1067.00	1048	3	13.33	0
96	pixel	69	36	1024.67	1055	4	13.33	0
97	pixel	69	37	2145.33	1311	3	13.33	0
98	pixel	69	38	2080.33	1232	4	13.33	0
99	pixel	69	39	1722.33	905	3	13.33	0
100	pixel	69	40	1616.33	871	4	13.33	0
101	pixel	69	41	2535.33	664	3	13.33	0
102	pixel	69	42	2382.33	581	4	13.33	0
103	pixel	69	43	2607.33	1160	3	13.33	0
104	pixel	69	44	2508.33	1034	4	13.33	0
105	pixel	69	45	2699.33	397	3	13.33	0
106	pixel	69	46	2564.33	274.00	4	13.33	0
107	pixel	69	47	1757.33	1455.67	3	13.33	0
108	pixel	69	48	1667.33	1398.67	4	13.33	0
109	pixel	69	49	1775.33	1562.67	4	13.33	0
110	pixel	69	50	1858.33	1615.67	3	13.33	0
111	pixel	69	51	2751.33	1696.67	4	13.33	0
112	pixel	69	52	2799.33	1759.67	3	13.33	0
