 	units	id	index	x	y	z	radius	name-id
1	pixel	65	1	2239	1028	2	13.33	0
2	pixel	65	2	1085.67	525.67	5	13.33	0
3	pixel	65	3	1148.33	2135.33	8	13.33	0
4	pixel	65	4	1579.33	1080.33	11	13.33	0
5	pixel	68	1	1443.00	562	1	13.33	0
6	pixel	68	2	1861.67	1832.67	1	13.33	0
7	pixel	68	3	1103.67	1734.67	2	13.33	0
8	pixel	68	4	1683.33	1527.67	2	13.33	0
9	pixel	68	5	1861.33	1428.67	1	13.33	0
10	pixel	68	6	2309.33	1447.67	1	13.33	0
11	pixel	68	7	2401.33	1905.67	1	13.33	0
12	pixel	68	8	1714.33	1005.67	1	13.33	0
13	pixel	68	9	1395.33	2202.67	1	13.33	0
14	pixel	68	10	1995.33	1286.67	4	13.33	0
15	pixel	68	11	1390.33	976.67	4	13.33	0
16	pixel	68	12	2084.33	716.67	4	13.33	0
17	pixel	68	13	2703.33	867.67	3	13.33	0
18	pixel	68	14	1956.33	2081.67	4	13.33	0
19	pixel	68	15	1699.33	1700.67	4	13.33	0
20	pixel	68	16	2571.33	1464.67	4	13.33	0
21	pixel	68	17	1857.33	2157.67	3	13.33	0
22	pixel	68	18	2912.33	352.67	4	13.33	0
23	pixel	68	19	2107.33	832.33	6	13.33	0
24	pixel	68	20	1750.33	560.33	6	13.33	0
25	pixel	68	21	2360.33	709.33	6	13.33	0
26	pixel	68	22	2483.33	334.33	5	13.33	0
27	pixel	68	23	1677.33	2026	5	13.33	0
28	pixel	68	24	2491.33	1682	5	13.33	0
29	pixel	68	25	2465.33	1791	5	13.33	0
30	pixel	68	26	1546.33	2112	6	13.33	0
31	pixel	68	27	1758.33	597	7	13.33	0
32	pixel	68	28	2662.33	1761	7	13.33	0
33	pixel	68	29	1764.33	1201	10	13.33	0
34	pixel	68	30	2695.33	1601	9	13.33	0
35	pixel	68	31	1075.33	2000	9	13.33	0
36	pixel	68	32	1922.00	1076	9	13.33	0
37	pixel	68	33	2399	1408	9	13.33	0
38	pixel	68	34	1419.00	1178	12	13.33	0
39	pixel	68	35	1356.00	1374	12	13.33	0
40	pixel	68	36	2869	905	12	13.33	0
41	pixel	68	37	2432	1833	12	13.33	0
42	pixel	68	38	2793	1749	12	13.33	0
43	pixel	68	39	1382.00	1502	11	13.33	0
44	pixel	68	40	1251.00	669	13	13.33	0
45	pixel	68	41	1192.00	875	14	13.33	0
46	pixel	68	42	2619	512.00	13	13.33	0
47	pixel	68	43	2961	358.00	14	13.33	0
48	pixel	68	44	1709.00	2083	14	13.33	0
49	pixel	68	45	1703.00	2160	13	13.33	0
50	pixel	68	46	2369	2260	13	13.33	0
51	pixel	68	47	2399	2188	14	13.33	0
52	pixel	71	1	1181.00	1284.00	1	13.33	0
53	pixel	71	2	1148.67	1371.67	2	13.33	0
54	pixel	71	3	2182.33	1692.67	2	13.33	0
55	pixel	71	4	2241.33	1667.67	1	13.33	0
56	pixel	71	5	1127.33	1505.67	1	13.33	0
57	pixel	71	6	1048.00	1611.67	2	13.33	0
58	pixel	71	7	1699.67	1382.67	2	13.33	0
59	pixel	71	8	1728.67	1280.67	1	13.33	0
60	pixel	71	9	1042.67	2024.33	1	13.33	0
61	pixel	71	10	1027.33	2136.33	2	13.33	0
62	pixel	71	11	2735.00	2144.33	1	13.33	0
63	pixel	71	12	2635.00	2151.33	2	13.33	0
64	pixel	71	13	2895.00	1797.33	1	13.33	0
65	pixel	71	14	2832.00	1776.33	2	13.33	0
66	pixel	71	15	1574.00	1040.33	3	13.33	0
67	pixel	71	16	1574.00	1144.00	4	13.33	0
68	pixel	71	17	2050.00	1004.00	3	13.33	0
69	pixel	71	18	2018.00	1068.67	4	13.33	0
70	pixel	71	19	2310.00	1300.67	4	13.33	0
71	pixel	71	20	2335.00	1243.67	3	13.33	0
72	pixel	71	21	1255.00	517.67	3	13.33	0
73	pixel	71	22	1260.00	636.33	4	13.33	0
74	pixel	71	23	1879.00	466.33	3	13.33	0
75	pixel	71	24	1890.00	400.00	4	13.33	0
76	pixel	71	25	1593.00	1345.67	3	13.33	0
77	pixel	71	26	1608.00	1450.67	4	13.33	0
78	pixel	71	27	2612.00	776.67	3	13.33	0
79	pixel	71	28	2591.00	836.67	4	13.33	0
80	pixel	71	29	2727.00	540.67	3	13.33	0
81	pixel	71	30	2717.00	568.67	4	13.33	0
82	pixel	71	31	2703.00	286.67	3	13.33	0
83	pixel	71	32	2628.00	390.33	4	13.33	0
84	pixel	71	33	2412.00	447.33	4	13.33	0
85	pixel	71	34	2394.00	387.33	3	13.33	0
86	pixel	71	35	2566.00	1035.33	3	13.33	0
87	pixel	71	36	2564.00	1127.33	4	13.33	0
88	pixel	71	37	2507.00	2057.33	3	13.33	0
89	pixel	71	38	2528.00	2171.33	4	13.33	0
90	pixel	71	39	2273.00	1500.33	3	13.33	0
91	pixel	71	40	2239.00	1605.33	4	13.33	0
92	pixel	71	41	1050.00	1446.33	3	13.33	0
93	pixel	71	42	1052.00	1595.33	4	13.33	0
94	pixel	71	43	1435.00	2185.33	3	13.33	0
95	pixel	71	44	1450.00	2201.33	4	13.33	0
96	pixel	71	45	1893.00	2280.33	3	13.33	0
97	pixel	71	46	1872.00	2401.33	4	13.33	0
98	pixel	71	47	2944.00	486.33	4	13.33	0
99	pixel	71	48	2960.00	429.33	3	13.33	0
100	pixel	71	49	1330.00	1096.33	5	13.33	0
101	pixel	71	50	1426.00	1161.33	6	13.33	0
102	pixel	71	51	1155.00	970.33	6	13.33	0
