 	units	id	index	x	y	z	radius	name-id
1	pixel	112	1	1777.00	946	8	13.33	0
2	pixel	112	2	2446.67	796.67	7	13.33	0
3	pixel	112	3	1736.67	1809.33	10	13.33	0
4	pixel	112	4	1680.33	448.33	15	13.33	0
5	pixel	112	5	2638	2259	16	13.33	0
6	pixel	112	6	1742.00	793	19	13.33	0
7	pixel	112	7	1401.00	2206	19	13.33	0
8	pixel	112	8	1923.67	1367	20	13.33	0
9	pixel	112	9	2114.67	1771	21	13.33	0
10	pixel	112	10	1041.67	487.00	26	13.33	0
11	pixel	112	11	2444.33	1451	27	13.33	0
12	pixel	112	12	1595.33	2036	27	13.33	0
13	pixel	112	13	1364.33	803	30	13.33	0
14	pixel	112	14	2536.33	908	29	13.33	0
15	pixel	112	15	1540.33	1436	30	13.33	0
16	pixel	112	16	2692.33	2234	30	13.33	0
17	pixel	112	17	1486.33	1622	29	13.33	0
18	pixel	115	1	1311	1442.00	1	13.33	0
19	pixel	115	2	2337.67	1506.67	1	13.33	0
20	pixel	115	3	2266.67	2096.67	2	13.33	0
21	pixel	115	4	2887.67	1631.67	2	13.33	0
22	pixel	115	5	1678.67	627.67	3	13.33	0
23	pixel	115	6	2408.67	1222.33	3	13.33	0
24	pixel	115	7	1776.67	814.33	4	13.33	0
25	pixel	115	8	2538.67	1034.33	4	13.33	0
26	pixel	115	9	1062.67	1992.33	4	13.33	0
27	pixel	115	10	2190.33	2260.33	3	13.33	0
28	pixel	115	11	2330.33	532.33	6	13.33	0
29	pixel	115	12	1592.33	1827.00	5	13.33	0
30	pixel	115	13	1585.33	1343.00	6	13.33	0
31	pixel	115	14	1097.33	2268	5	13.33	0
32	pixel	115	15	2448.33	1687.00	6	13.33	0
33	pixel	115	16	2392.33	1498.00	5	13.33	0
34	pixel	115	17	1480.33	1668.00	5	13.33	0
35	pixel	115	18	1119.33	1311.00	6	13.33	0
36	pixel	115	19	1354.33	1318.00	8	13.33	0
37	pixel	115	20	1228.33	1086.00	8	13.33	0
38	pixel	115	21	2765.33	556	7	13.33	0
39	pixel	115	22	2228.33	1713.00	8	13.33	0
40	pixel	115	23	2067.33	1322.00	8	13.33	0
41	pixel	115	24	2064.33	2257	7	13.33	0
42	pixel	115	25	2247.33	2179	8	13.33	0
43	pixel	115	26	1400.33	752	10	13.33	0
44	pixel	115	27	1008.33	1013.00	10	13.33	0
45	pixel	115	28	1489	1710.00	9	13.33	0
46	pixel	115	29	1627	989.00	10	13.33	0
47	pixel	115	30	1297	2269	10	13.33	0
48	pixel	115	31	1019.00	2233	9	13.33	0
49	pixel	115	32	1013.00	1797.00	10	13.33	0
50	pixel	115	33	1993	544	12	13.33	0
51	pixel	115	34	2284	479.00	11	13.33	0
52	pixel	115	35	1511	1444.67	11	13.33	0
53	pixel	115	36	2399	748.67	15	13.33	0
54	pixel	115	37	2886	807.67	15	13.33	0
55	pixel	115	38	2080	1780.67	16	13.33	0
56	pixel	115	39	2342	1749.67	16	13.33	0
57	pixel	115	40	1772	580.67	17	13.33	0
58	pixel	115	41	2557	1291.67	18	13.33	0
59	pixel	115	42	1600	475.67	17	13.33	0
60	pixel	115	43	1261	1609.33	17	13.33	0
61	pixel	115	44	1883	1744.33	18	13.33	0
62	pixel	115	45	1088	2301.33	18	13.33	0
63	pixel	115	46	1495	1613.33	20	13.33	0
64	pixel	115	47	1738	2082.33	20	13.33	0
65	pixel	115	48	1093	1978.33	19	13.33	0
66	pixel	115	49	2878	1869.33	20	13.33	0
67	pixel	115	50	2311	594.33	19	13.33	0
68	pixel	115	51	1662	461.33	21	13.33	0
69	pixel	115	52	1162	868	21	13.33	0
70	pixel	115	53	1083	1157	21	13.33	0
71	pixel	115	54	1452	1365	22	13.33	0
72	pixel	115	55	2836	1411	22	13.33	0
73	pixel	115	56	1351	1976	21	13.33	0
74	pixel	115	57	1594	1946	22	13.33	0
75	pixel	115	58	2301	1880	21	13.33	0
76	pixel	115	59	2477	2283	22	13.33	0
77	pixel	115	60	2531	2183	21	13.33	0
78	pixel	115	61	1283	1790	22	13.33	0
79	pixel	115	62	1397	2260	25	13.33	0
80	pixel	115	63	1476	2025	26	13.33	0
81	pixel	115	64	2088	1729	27	13.33	0
82	pixel	115	65	1130	1601	27	13.33	0
83	pixel	115	66	1547	1587	27	13.33	0
84	pixel	115	67	1506	2116	27	13.33	0
85	pixel	115	68	1643	563	29	13.33	0
86	pixel	115	69	2838	624	29	13.33	0
87	pixel	115	70	2108	1406	30	13.33	0
88	pixel	115	71	2332	1254	29	13.33	0
89	pixel	118	1	1357.00	1015.00	2	13.33	0
90	pixel	118	2	1304.67	1153.67	1	13.33	0
91	pixel	118	3	1308.33	416.67	2	13.33	0
92	pixel	118	4	1329.33	537.33	1	13.33	0
93	pixel	118	5	1220.33	642.33	1	13.33	0
94	pixel	118	6	1207.00	519.33	2	13.33	0
95	pixel	118	7	1405.67	737.33	1	13.33	0
96	pixel	118	8	1408.67	607.33	2	13.33	0
97	pixel	118	9	1516.67	366.33	2	13.33	0
98	pixel	118	10	1523.67	459	1	13.33	0
99	pixel	118	11	1939.67	758	2	13.33	0
100	pixel	118	12	1901.67	890.00	1	13.33	0
101	pixel	118	13	2380.67	987.00	2	13.33	0
