 	units	id	index	x	y	z	radius	name-id
1	pixel	99	1	2173	1857.00	4	13.33	0
2	pixel	99	2	1856.67	627.67	5	13.33	0
3	pixel	99	3	1166.33	1556.33	12	13.33	0
4	pixel	99	4	1536	1967.33	15	13.33	0
5	pixel	99	5	2972	1982.33	16	13.33	0
6	pixel	99	6	2076	393.33	19	13.33	0
7	pixel	99	7	1500	1948	21	13.33	0
8	pixel	99	8	1133	977	24	13.33	0
9	pixel	99	9	2661.67	1618	26	13.33	0
10	pixel	102	1	1468	727	1	13.33	0
11	pixel	102	2	2113.67	586.67	1	13.33	0
12	pixel	102	3	2252.67	494.33	2	13.33	0
13	pixel	102	4	2384.67	384.00	1	13.33	0
14	pixel	102	5	1213.67	876.67	3	13.33	0
15	pixel	102	6	1077.33	1155.67	3	13.33	0
16	pixel	102	7	1452	986.67	3	13.33	0
17	pixel	102	8	2539	921.67	4	13.33	0
18	pixel	102	9	2843	1013.67	4	13.33	0
19	pixel	102	10	2812	1717.67	3	13.33	0
20	pixel	102	11	2766	2040.67	3	13.33	0
21	pixel	102	12	2333	669.67	6	13.33	0
22	pixel	102	13	2362	789.67	6	13.33	0
23	pixel	102	14	1535	1747.67	5	13.33	0
24	pixel	102	15	2408	1855.67	5	13.33	0
25	pixel	102	16	2317	1705.67	6	13.33	0
26	pixel	102	17	2468	1656.67	5	13.33	0
27	pixel	102	18	2668	1308.67	5	13.33	0
28	pixel	102	19	1326	2108.67	6	13.33	0
29	pixel	102	20	1538	757.67	8	13.33	0
30	pixel	102	21	1870	903.67	8	13.33	0
31	pixel	102	22	1800	1183.67	8	13.33	0
32	pixel	102	23	2605	626.67	7	13.33	0
33	pixel	102	24	1084	1758.67	7	13.33	0
34	pixel	102	25	1232	1945.67	7	13.33	0
35	pixel	102	26	1488	1118.67	12	13.33	0
36	pixel	102	27	2010	1148.67	12	13.33	0
37	pixel	102	28	1297	695.67	11	13.33	0
38	pixel	102	29	2669	1043.67	11	13.33	0
39	pixel	102	30	2225	1295.67	11	13.33	0
40	pixel	102	31	2664	1274.67	12	13.33	0
41	pixel	102	32	1204	1760.67	12	13.33	0
