 	units	id	index	x	y	z	radius	name-id
1	pixel	106	1	2110.00	1174.00	3	13.33	0
2	pixel	106	2	2092.67	2221.67	4	13.33	0
3	pixel	106	3	2798.33	2306.67	4	13.33	0
4	pixel	106	4	1546.33	1978.67	8	13.33	0
5	pixel	106	5	1671.00	1914.67	12	13.33	0
6	pixel	106	6	1262.00	1832.67	11	13.33	0
7	pixel	106	7	1480.67	1109.67	16	13.33	0
8	pixel	106	8	2586.67	2093.33	19	13.33	0
9	pixel	106	9	2056.67	794.33	22	13.33	0
10	pixel	106	10	1946.67	1469.00	23	13.33	0
11	pixel	106	11	1923.67	1136.00	27	13.33	0
12	pixel	106	12	1826.67	491.00	28	13.33	0
13	pixel	106	13	2677.67	1983.67	28	13.33	0
14	pixel	109	1	1523.00	931.00	3	13.33	0
15	pixel	109	2	2281.67	1265.67	4	13.33	0
16	pixel	109	3	2512.67	846.67	4	13.33	0
17	pixel	109	4	1801.67	649.33	3	13.33	0
18	pixel	109	5	2446.67	1362	4	13.33	0
19	pixel	109	6	1892.67	702.00	7	13.33	0
20	pixel	109	7	2211.67	990.00	7	13.33	0
21	pixel	109	8	2362.67	620.00	8	13.33	0
22	pixel	109	9	1922.67	2013.67	7	13.33	0
23	pixel	109	10	1840.67	1666.67	7	13.33	0
24	pixel	109	11	1428.67	1469.67	7	13.33	0
25	pixel	109	12	2267.33	1294.67	8	13.33	0
26	pixel	109	13	1300.33	1074.67	9	13.33	0
27	pixel	109	14	1291.00	960.67	12	13.33	0
28	pixel	109	15	1351.67	742.67	11	13.33	0
29	pixel	109	16	1736.67	1120.67	11	13.33	0
30	pixel	109	17	2223.67	844.67	12	13.33	0
31	pixel	109	18	2039.67	1461.67	11	13.33	0
32	pixel	109	19	2581.67	493.67	11	13.33	0
33	pixel	109	20	1754.67	844.33	16	13.33	0
34	pixel	109	21	1484.67	1452.33	15	13.33	0
35	pixel	109	22	1164.67	1745.33	15	13.33	0
36	pixel	109	23	2448.33	1291.33	15	13.33	0
37	pixel	109	24	1451.33	2009.33	15	13.33	0
38	pixel	109	25	2012.33	2021.33	16	13.33	0
39	pixel	109	26	2032.33	1515.33	17	13.33	0
40	pixel	109	27	1861.33	1382.33	18	13.33	0
41	pixel	109	28	1596.33	1832.33	18	13.33	0
42	pixel	109	29	1545.33	610.33	19	13.33	0
43	pixel	109	30	1748.33	801.33	20	13.33	0
44	pixel	109	31	1473.33	851.33	19	13.33	0
