 	units	id	index	x	y	z	radius	name-id
1	pixel	58	1	2728.67	756.67	1	13.33	0
2	pixel	58	2	2466.33	753.33	4	13.33	0
3	pixel	58	3	1213	1068	4	13.33	0
4	pixel	58	4	1566.67	848.00	5	13.33	0
5	pixel	58	5	2773.67	2222	5	13.33	0
6	pixel	58	6	1023.67	472.00	8	13.33	0
7	pixel	58	7	2175.33	1117.67	10	13.33	0
8	pixel	61	1	2586	1045	2	13.33	0
9	pixel	61	2	2911.67	969.67	2	13.33	0
10	pixel	61	3	2715.67	914.33	1	13.33	0
11	pixel	61	4	1457.67	1143	1	13.33	0
12	pixel	61	5	1673.33	1261	4	13.33	0
13	pixel	61	6	1990.33	1275	4	13.33	0
14	pixel	61	7	1644.33	619	3	13.33	0
15	pixel	61	8	2600.33	575.67	3	13.33	0
16	pixel	61	9	1593.33	1510.33	3	13.33	0
17	pixel	61	10	2066.33	1843.33	3	13.33	0
18	pixel	61	11	2169.33	890.33	6	13.33	0
19	pixel	61	12	1099.33	568.33	5	13.33	0
20	pixel	61	13	2694	458	6	13.33	0
21	pixel	61	14	2719	659.67	5	13.33	0
22	pixel	61	15	1631.00	1607.67	6	13.33	0
23	pixel	61	16	1097.00	1353.67	5	13.33	0
24	pixel	61	17	1858.67	1785.67	5	13.33	0
25	pixel	61	18	1493.67	2191.67	5	13.33	0
26	pixel	61	19	1054.67	1143.67	6	13.33	0
27	pixel	61	20	1369.33	922.67	8	13.33	0
28	pixel	61	21	2854.33	626.67	8	13.33	0
29	pixel	61	22	2769.33	876.67	8	13.33	0
30	pixel	61	23	2206.33	884.67	8	13.33	0
31	pixel	61	24	1215.33	1452.67	8	13.33	0
32	pixel	61	25	2141.33	1415.67	8	13.33	0
33	pixel	61	26	2496.33	2213.67	8	13.33	0
34	pixel	61	27	2330.33	1502.67	7	13.33	0
35	pixel	61	28	2642.33	2025.67	7	13.33	0
36	pixel	61	29	2698.33	2284.67	8	13.33	0
37	pixel	61	30	2589.33	1803.67	7	13.33	0
38	pixel	61	31	1609.33	568.67	9	13.33	0
39	pixel	61	32	2141.33	1636.67	9	13.33	0
40	pixel	61	33	2480.33	1757.67	10	13.33	0
41	pixel	61	34	2591.33	1343.67	9	13.33	0
42	pixel	64	1	1004	866.00	1	13.33	0
43	pixel	64	2	1122.67	733.67	2	13.33	0
44	pixel	64	3	1317.67	907.33	2	13.33	0
45	pixel	64	4	1160.67	1006.33	1	13.33	0
46	pixel	64	5	1387.67	1030.33	1	13.33	0
47	pixel	64	6	1544.67	875.33	2	13.33	0
48	pixel	64	7	1870.67	620.33	2	13.33	0
49	pixel	64	8	1766.67	835.00	1	13.33	0
50	pixel	64	9	1428.67	778.00	1	13.33	0
51	pixel	64	10	1538.67	550.00	2	13.33	0
52	pixel	64	11	2413.67	896.67	2	13.33	0
53	pixel	64	12	2260.67	1109.67	1	13.33	0
54	pixel	64	13	2288.67	1039.67	2	13.33	0
55	pixel	64	14	2123.67	1259.67	1	13.33	0
56	pixel	64	15	2519.67	1110.67	1	13.33	0
57	pixel	64	16	2654.67	881.67	2	13.33	0
58	pixel	64	17	2569.67	689.67	1	13.33	0
59	pixel	64	18	2669.67	442.67	2	13.33	0
60	pixel	64	19	1748.67	1595.33	1	13.33	0
61	pixel	64	20	1936.67	1442.33	2	13.33	0
62	pixel	64	21	2020.67	1645.33	2	13.33	0
63	pixel	64	22	1800.67	1788.33	1	13.33	0
64	pixel	64	23	2188.67	2034.33	1	13.33	0
65	pixel	64	24	2434.67	1858.33	2	13.33	0
66	pixel	64	25	1158.67	2114.33	1	13.33	0
67	pixel	64	26	1404.67	2041.33	2	13.33	0
68	pixel	64	27	1876.67	1986.33	2	13.33	0
69	pixel	64	28	1668.67	2102.33	1	13.33	0
70	pixel	64	29	1275.67	389.33	3	13.33	0
71	pixel	64	30	1440.67	537.00	4	13.33	0
72	pixel	64	31	1990.67	336.00	4	13.33	0
73	pixel	64	32	1847.67	258.67	3	13.33	0
74	pixel	64	33	2813.67	818.33	3	13.33	0
75	pixel	64	34	2995.67	792.33	4	13.33	0
76	pixel	64	35	2729.67	1084.33	4	13.33	0
77	pixel	64	36	2517.67	1042.33	3	13.33	0
78	pixel	64	37	1816.67	1937.33	4	13.33	0
79	pixel	64	38	1483.67	1774.33	3	13.33	0
80	pixel	64	39	2196.67	1711.33	3	13.33	0
81	pixel	64	40	2518.67	1824.33	4	13.33	0
82	pixel	64	41	2469.67	1847.33	3	13.33	0
83	pixel	64	42	2747.67	1937.33	4	13.33	0
84	pixel	64	43	3269.67	1979.33	4	13.33	0
85	pixel	64	44	2913.67	1934.33	3	13.33	0
86	pixel	64	45	1081.67	1921.33	3	13.33	0
87	pixel	64	46	1420.67	2099.33	4	13.33	0
88	pixel	64	47	2729.67	1011.33	5	13.33	0
89	pixel	64	48	2839.67	893.33	6	13.33	0
90	pixel	64	49	2765.67	981.33	6	13.33	0
91	pixel	64	50	2681.67	1103.33	5	13.33	0
92	pixel	64	51	1677.67	1430.33	6	13.33	0
93	pixel	64	52	1529.67	1409.33	5	13.33	0
94	pixel	64	53	2723.67	1430.33	5	13.33	0
95	pixel	64	54	2811.67	1366.33	5	13.33	0
96	pixel	64	55	2855.67	1574.33	5	13.33	0
97	pixel	64	56	2842.67	1272.33	6	13.33	0
98	pixel	64	57	2836.67	1351.33	6	13.33	0
99	pixel	64	58	2984.67	1530.33	6	13.33	0
