 	units	id	index	x	y	z	radius	name-id
1	pixel	118	1	2710	1779	1	13.33	0
2	pixel	118	2	2529.67	1499.67	3	13.33	0
3	pixel	118	3	1425.33	2193.33	4	13.33	0
4	pixel	118	4	2218	1404.33	8	13.33	0
5	pixel	118	5	1472.00	1259.00	8	13.33	0
6	pixel	118	6	2229	1032.67	13	13.33	0
7	pixel	118	7	1042.00	851.33	13	13.33	0
8	pixel	118	8	1291.67	1129.00	14	13.33	0
9	pixel	118	9	1433.67	1487.00	15	13.33	0
10	pixel	118	10	2378.67	918.00	17	13.33	0
11	pixel	118	11	2219.67	1210.00	18	13.33	0
12	pixel	118	12	1793.67	683.00	22	13.33	0
13	pixel	118	13	2662.67	1232.67	21	13.33	0
14	pixel	118	14	1809.67	1648.67	23	13.33	0
15	pixel	118	15	2020.67	1208.67	26	13.33	0
16	pixel	118	16	2693.67	2175.67	28	13.33	0
17	pixel	118	17	2739.67	1851.67	30	13.33	0
18	pixel	121	1	1964.00	1016	1	13.33	0
19	pixel	121	2	2968.67	581.67	2	13.33	0
20	pixel	121	3	1520.67	1317.33	1	13.33	0
21	pixel	121	4	1015.33	1718.33	1	13.33	0
22	pixel	121	5	2233	2121.33	2	13.33	0
23	pixel	121	6	1826.00	2067.33	2	13.33	0
24	pixel	121	7	979.00	1204.33	1	13.33	0
25	pixel	121	8	1612.67	434.33	4	13.33	0
26	pixel	121	9	2711.67	965	4	13.33	0
27	pixel	121	10	1588.67	1635.00	4	13.33	0
28	pixel	121	11	2403.67	1697.00	4	13.33	0
29	pixel	121	12	2035.67	372.00	6	13.33	0
30	pixel	121	13	1055.67	804.67	6	13.33	0
31	pixel	121	14	2551.67	595.67	6	13.33	0
32	pixel	121	15	2106.67	1544.67	5	13.33	0
33	pixel	121	16	2334.67	2160.67	6	13.33	0
34	pixel	121	17	1504.67	1330.67	6	13.33	0
35	pixel	121	18	1360.67	758.67	6	13.33	0
36	pixel	121	19	2433.67	1472.67	7	13.33	0
37	pixel	121	20	1811.67	1990.67	7	13.33	0
38	pixel	121	21	1437.67	504.67	9	13.33	0
39	pixel	121	22	1475.67	1074.67	9	13.33	0
40	pixel	121	23	2369.67	1073.67	10	13.33	0
41	pixel	121	24	2364.67	1611.67	9	13.33	0
42	pixel	121	25	1986.67	1701.67	13	13.33	0
43	pixel	121	26	2824.67	1605.67	13	13.33	0
44	pixel	121	27	2080.67	1921.67	13	13.33	0
45	pixel	121	28	2400.67	1780.67	13	13.33	0
46	pixel	121	29	1109.67	2025.67	13	13.33	0
47	pixel	121	30	1253.67	424.67	16	13.33	0
48	pixel	121	31	1732.67	1624.67	15	13.33	0
49	pixel	121	32	1598.67	1405.67	16	13.33	0
50	pixel	121	33	1972.67	1898.67	16	13.33	0
51	pixel	121	34	1030.67	649.67	18	13.33	0
52	pixel	121	35	2341.67	1238.67	18	13.33	0
53	pixel	121	36	2627.67	764.67	19	13.33	0
54	pixel	121	37	2658.67	546.67	22	13.33	0
55	pixel	121	38	1085.67	1257.67	21	13.33	0
56	pixel	121	39	1902.67	618.67	24	13.33	0
57	pixel	121	40	1441.67	1706.67	24	13.33	0
58	pixel	121	41	2210.67	412.67	26	13.33	0
59	pixel	121	42	2195.67	1639.67	25	13.33	0
60	pixel	121	43	1456.67	1720.67	25	13.33	0
61	pixel	121	44	1719.67	1811.67	25	13.33	0
62	pixel	121	45	2808.67	1677.67	26	13.33	0
63	pixel	121	46	1435.67	2099.67	26	13.33	0
64	pixel	121	47	2339.67	722.67	25	13.33	0
65	pixel	121	48	2565.67	401.67	27	13.33	0
66	pixel	121	49	1122.67	538.67	28	13.33	0
67	pixel	121	50	2600.67	911.67	27	13.33	0
68	pixel	121	51	1614.67	1748.67	28	13.33	0
69	pixel	121	52	1236.67	1879.67	27	13.33	0
70	pixel	121	53	2844.67	2030.67	27	13.33	0
71	pixel	121	54	1435.67	476.67	27	13.33	0
72	pixel	121	55	2333.67	1524.67	29	13.33	0
73	pixel	121	56	1008.67	1925.67	29	13.33	0
74	pixel	124	1	1331.00	569.00	1	13.33	0
75	pixel	124	2	1306.67	704.67	2	13.33	0
76	pixel	124	3	1445.33	822.67	2	13.33	0
77	pixel	124	4	1463.33	697.67	1	13.33	0
78	pixel	124	5	1401.33	877.67	1	13.33	0
79	pixel	124	6	1389.33	1001.67	2	13.33	0
80	pixel	124	7	1380.33	1169.67	1	13.33	0
81	pixel	124	8	1413.33	1297.67	2	13.33	0
82	pixel	124	9	1602.33	1673.67	1	13.33	0
83	pixel	124	10	1705.33	1822.67	2	13.33	0
84	pixel	124	11	2002.33	2101.67	2	13.33	0
85	pixel	124	12	1795.33	1929.67	1	13.33	0
86	pixel	124	13	2268.33	1954.67	1	13.33	0
87	pixel	124	14	2386.33	2082.67	2	13.33	0
88	pixel	124	15	2639.33	1956.67	1	13.33	0
89	pixel	124	16	2766.33	2033.67	2	13.33	0
90	pixel	124	17	2433.33	2202.67	1	13.33	0
91	pixel	124	18	2583.33	2318.67	2	13.33	0
92	pixel	124	19	1671.33	644.67	3	13.33	0
93	pixel	124	20	1584.33	793.67	4	13.33	0
94	pixel	124	21	1072.33	1103.67	4	13.33	0
95	pixel	124	22	1145.00	929.67	3	13.33	0
96	pixel	124	23	1387.00	841.67	3	13.33	0
97	pixel	124	24	1332.00	1033.67	4	13.33	0
98	pixel	124	25	2433	1268.67	4	13.33	0
99	pixel	124	26	2581	1203.67	4	13.33	0
100	pixel	124	27	2472	1167.67	3	13.33	0
101	pixel	124	28	2631	1128.67	3	13.33	0
102	pixel	124	29	1699.00	1810.67	3	13.33	0
103	pixel	124	30	1712.00	1988.67	4	13.33	0
104	pixel	124	31	2051	1369.67	3	13.33	0
105	pixel	124	32	2030.00	1512.67	4	13.33	0
106	pixel	124	33	2483	1813.67	4	13.33	0
107	pixel	124	34	2503	1694.67	3	13.33	0
108	pixel	124	35	2741	1978.67	3	13.33	0
109	pixel	124	36	2748	2084.67	4	13.33	0
110	pixel	124	37	2860	1926.67	3	13.33	0
111	pixel	124	38	2903	2025.67	4	13.33	0
112	pixel	124	39	2422	2071.67	3	13.33	0
113	pixel	124	40	2470	2204.67	4	13.33	0
114	pixel	124	41	1607.00	399.67	6	13.33	0
115	pixel	124	42	1784.00	431.33	5	13.33	0
116	pixel	124	43	1072.00	752.33	5	13.33	0
117	pixel	124	44	944.67	839.33	6	13.33	0
118	pixel	124	45	1692.33	1016.33	5	13.33	0
119	pixel	124	46	1591.33	1050.33	6	13.33	0
120	pixel	124	47	2547.33	730.33	6	13.33	0
121	pixel	124	48	2711.33	839.33	5	13.33	0
122	pixel	124	49	1038.33	1661.33	6	13.33	0
123	pixel	124	50	1078.33	1523.33	5	13.33	0
124	pixel	124	51	1950.33	1693.33	5	13.33	0
125	pixel	124	52	1878.33	1716.33	6	13.33	0
126	pixel	124	53	2224.33	1480.33	5	13.33	0
127	pixel	124	54	2176.33	1511.33	6	13.33	0
128	pixel	124	55	2740.33	1833.33	6	13.33	0
129	pixel	124	56	2775.33	1847.33	5	13.33	0
130	pixel	124	57	1164.33	2057.33	5	13.33	0
131	pixel	124	58	1107.33	2188.33	6	13.33	0
132	pixel	124	59	1010.33	2190.33	5	13.33	0
133	pixel	124	60	1003.33	2330.33	6	13.33	0
134	pixel	124	61	2384.33	2072.33	6	13.33	0
135	pixel	124	62	2428.33	2076.33	5	13.33	0
136	pixel	124	63	1927.33	676.33	8	13.33	0
137	pixel	124	64	1936.33	584.33	7	13.33	0
138	pixel	124	65	1882.33	984.33	8	13.33	0
139	pixel	124	66	1839.33	900.33	7	13.33	0
140	pixel	124	67	1147.33	979.33	7	13.33	0
141	pixel	124	68	1183.33	1146.33	8	13.33	0
142	pixel	124	69	2574.33	907.33	7	13.33	0
143	pixel	124	70	2588.33	944.33	8	13.33	0
144	pixel	124	71	2702.33	519.33	7	13.33	0
145	pixel	124	72	2686.33	541.33	8	13.33	0
146	pixel	124	73	1243.33	1373.33	7	13.33	0
147	pixel	124	74	1307.33	1447.33	8	13.33	0
148	pixel	124	75	1775.33	1470.33	7	13.33	0
149	pixel	124	76	1929.33	1589.33	8	13.33	0
150	pixel	124	77	2589.33	1665.33	8	13.33	0
151	pixel	124	78	2468.33	1596.33	7	13.33	0
152	pixel	124	79	1360.33	2334.33	8	13.33	0
153	pixel	124	80	1153.33	2141.33	7	13.33	0
154	pixel	124	81	1032.33	1919.33	7	13.33	0
155	pixel	124	82	1197.33	2116.33	8	13.33	0
156	pixel	124	83	2313.33	2073.33	7	13.33	0
157	pixel	124	84	2484.33	2170.33	8	13.33	0
158	pixel	124	85	2489.33	2286.33	7	13.33	0
159	pixel	124	86	2652.33	2380.33	8	13.33	0
160	pixel	124	87	1147.33	890.33	9	13.33	0
161	pixel	124	88	1218.33	965.33	10	13.33	0
162	pixel	124	89	780.33	895.33	9	13.33	0
163	pixel	124	90	877.00	1041.33	10	13.33	0
164	pixel	124	91	2537	1069.33	10	13.33	0
165	pixel	124	92	2518	1084.33	9	13.33	0
166	pixel	124	93	1652.00	1259.33	9	13.33	0
167	pixel	124	94	1732.00	1334.33	10	13.33	0
168	pixel	124	95	1455.00	1893.33	9	13.33	0
169	pixel	124	96	1594.00	2010.33	10	13.33	0
170	pixel	124	97	2098	1854.33	10	13.33	0
171	pixel	124	98	2028.00	1791.33	9	13.33	0
172	pixel	124	99	2086	1466.33	10	13.33	0
173	pixel	124	100	2000.00	1431.33	9	13.33	0
174	pixel	124	101	1572.00	1678.33	10	13.33	0
175	pixel	124	102	1496.00	1588.33	9	13.33	0
176	pixel	124	103	2753	1605.33	10	13.33	0
177	pixel	124	104	2642	1595.33	9	13.33	0
178	pixel	124	105	3016	1549.33	10	13.33	0
179	pixel	124	106	2938	1576.33	9	13.33	0
180	pixel	124	107	2760	1317.33	9	13.33	0
181	pixel	124	108	2807	1311.33	10	13.33	0
182	pixel	124	109	1937.00	2100.33	9	13.33	0
183	pixel	124	110	2084	2191.33	10	13.33	0
184	pixel	124	111	2584	2150.33	9	13.33	0
185	pixel	124	112	2728	2185.33	10	13.33	0
186	pixel	124	113	2834	1357.33	14	13.33	0
187	pixel	124	114	2715	1499.33	13	13.33	0
188	pixel	124	115	1524.00	2013.33	13	13.33	0
189	pixel	124	116	1709.00	1953.33	14	13.33	0
190	pixel	124	117	1818.00	2231.33	14	13.33	0
191	pixel	124	118	1604.00	2300.33	13	13.33	0
192	pixel	124	119	2428	2310.33	13	13.33	0
193	pixel	124	120	2625	2187.33	14	13.33	0
194	pixel	124	121	2628	2252.33	13	13.33	0
195	pixel	124	122	2828	2121.33	14	13.33	0
196	pixel	124	123	2934	1222.33	15	13.33	0
197	pixel	124	124	2890	1144.33	16	13.33	0
198	pixel	124	125	2559	1165.33	15	13.33	0
199	pixel	124	126	2502	1103.33	16	13.33	0
200	pixel	124	127	1913.00	1462.33	16	13.33	0
201	pixel	124	128	1985.00	1464.33	15	13.33	0
202	pixel	124	129	930.00	1244.33	15	13.33	0
203	pixel	124	130	908.00	1302.33	16	13.33	0
204	pixel	124	131	2707	1802.33	16	13.33	0
205	pixel	124	132	2711	1859.33	15	13.33	0
206	pixel	124	133	1112.00	2308.33	15	13.33	0
207	pixel	124	134	1160.00	2402.33	16	13.33	0
208	pixel	124	135	1164.00	2033.33	16	13.33	0
209	pixel	124	136	1117.00	1984.33	15	13.33	0
210	pixel	124	137	2385	1036.33	18	13.33	0
211	pixel	124	138	2280	1066.33	17	13.33	0
212	pixel	124	139	2967	890.33	18	13.33	0
213	pixel	124	140	2862	966.33	17	13.33	0
214	pixel	124	141	1289.00	1397.33	17	13.33	0
215	pixel	124	142	1494.00	1474.33	18	13.33	0
216	pixel	124	143	2654	1861.33	17	13.33	0
217	pixel	124	144	2906	1815.33	18	13.33	0
218	pixel	124	145	1159.00	2230.33	21	13.33	0
219	pixel	124	146	1349.00	2323.33	22	13.33	0
220	pixel	124	147	1161.00	2091.33	22	13.33	0
221	pixel	124	148	1001.00	2002.33	21	13.33	0
222	pixel	124	149	1490.00	635.33	23	13.33	0
223	pixel	124	150	1334.00	596.33	24	13.33	0
224	pixel	124	151	1691.00	1241.33	24	13.33	0
225	pixel	124	152	1738.00	1287.33	23	13.33	0
226	pixel	124	153	2183	445.33	24	13.33	0
227	pixel	124	154	2358	593.33	23	13.33	0
228	pixel	124	155	2446	1401.33	24	13.33	0
229	pixel	124	156	2550	1709.33	24	13.33	0
230	pixel	124	157	2583	1528.33	23	13.33	0
231	pixel	124	158	2591	1810.33	23	13.33	0
232	pixel	124	159	1050.00	2135.33	23	13.33	0
233	pixel	124	160	1067.00	2236.33	24	13.33	0
234	pixel	124	161	2375	2096.33	24	13.33	0
235	pixel	124	162	2357	2139.33	23	13.33	0
236	pixel	124	163	2157	2190.33	23	13.33	0
237	pixel	124	164	2191	2144.33	24	13.33	0
238	pixel	124	165	2575	2021.33	23	13.33	0
239	pixel	124	166	2571	1956.33	24	13.33	0
240	pixel	124	167	1863.00	254.33	24	13.33	0
241	pixel	124	168	2099	384.00	23	13.33	0
242	pixel	124	169	1033.00	2017	24	13.33	0
243	pixel	124	170	1008.00	1951	23	13.33	0
244	pixel	124	171	1883.00	2152	24	13.33	0
245	pixel	124	172	1841.00	2190	23	13.33	0
246	pixel	124	173	1911.00	885.00	25	13.33	0
247	pixel	124	174	1810.00	845.00	26	13.33	0
248	pixel	124	175	1407.00	909.00	26	13.33	0
249	pixel	124	176	1527.00	891.00	25	13.33	0
250	pixel	124	177	1466.00	533.00	26	13.33	0
251	pixel	124	178	1663.00	471.00	25	13.33	0
252	pixel	124	179	1235.00	1582	25	13.33	0
253	pixel	124	180	1251.00	1686	26	13.33	0
254	pixel	124	181	2378	1660	26	13.33	0
255	pixel	124	182	2376	1668	25	13.33	0
256	pixel	124	183	2632	1402	26	13.33	0
257	pixel	124	184	2695	1408	25	13.33	0
258	pixel	124	185	1931.00	2065	25	13.33	0
259	pixel	124	186	1938.00	2130	26	13.33	0
260	pixel	124	187	1399.00	658.00	27	13.33	0
261	pixel	124	188	1343.00	625.00	28	13.33	0
262	pixel	124	189	1494.00	828.00	28	13.33	0
263	pixel	124	190	1564.00	835.00	27	13.33	0
264	pixel	124	191	1952.00	777.00	28	13.33	0
265	pixel	124	192	2008.00	579.00	28	13.33	0
266	pixel	124	193	2103	610.00	27	13.33	0
267	pixel	124	194	2007.00	808.00	27	13.33	0
268	pixel	124	195	2298	409.00	28	13.33	0
269	pixel	124	196	2419	467.00	27	13.33	0
270	pixel	124	197	1921.00	347.00	27	13.33	0
271	pixel	124	198	1827.00	320.00	28	13.33	0
272	pixel	124	199	1255.00	383.00	27	13.33	0
273	pixel	124	200	1204.00	392.00	28	13.33	0
274	pixel	124	201	1212.00	1083	27	13.33	0
275	pixel	124	202	1235.00	1080	28	13.33	0
276	pixel	124	203	1555.00	1569	28	13.33	0
277	pixel	124	204	1838.00	1476	28	13.33	0
278	pixel	124	205	2150	1774	28	13.33	0
279	pixel	124	206	1517.00	1567	27	13.33	0
280	pixel	124	207	1843.00	1489	27	13.33	0
281	pixel	124	208	2059	1773	27	13.33	0
282	pixel	124	209	2492	1790	28	13.33	0
283	pixel	124	210	2455	1813	27	13.33	0
284	pixel	124	211	2530	1360	27	13.33	0
285	pixel	124	212	2489	1313	28	13.33	0
286	pixel	124	213	1552.00	1425	29	13.33	0
287	pixel	124	214	1548.00	1476	30	13.33	0
288	pixel	124	215	1610.00	1872	29	13.33	0
289	pixel	124	216	1643.00	1913	30	13.33	0
290	pixel	124	217	1462.00	2172	29	13.33	0
291	pixel	124	218	1523.00	2249	30	13.33	0
292	pixel	124	219	1599.00	504.00	31	13.33	0
293	pixel	124	220	1520.00	573.00	32	13.33	0
294	pixel	124	221	1732.00	1018.00	32	13.33	0
295	pixel	124	222	1760.00	972.00	31	13.33	0
296	pixel	124	223	2507	537.00	32	13.33	0
297	pixel	124	224	2675	524.00	31	13.33	0
