 	units	id	index	x	y	z	radius	name-id
1	pixel	88	1	1896.67	1391.67	4	13.33	0
2	pixel	88	2	1935.33	1432.33	6	13.33	0
3	pixel	88	3	2456.33	1890.33	8	13.33	0
4	pixel	88	4	2347.33	2257.33	10	13.33	0
5	pixel	88	5	1424.33	1562.33	16	13.33	0
6	pixel	88	6	1672.00	1095.33	18	13.33	0
7	pixel	88	7	1124.00	572.00	18	13.33	0
8	pixel	88	8	2891.67	571.67	17	13.33	0
9	pixel	88	9	2105.67	736.33	19	13.33	0
10	pixel	88	10	2029.67	683.33	19	13.33	0
11	pixel	88	11	2547.67	381.33	20	13.33	0
12	pixel	88	12	2978.67	992.00	20	13.33	0
13	pixel	88	13	1964.67	1887	21	13.33	0
14	pixel	91	1	1353.00	604	2	13.33	0
15	pixel	91	2	2349.67	442.67	1	13.33	0
16	pixel	91	3	2901.67	1130.33	1	13.33	0
17	pixel	91	4	1986.67	1857.33	1	13.33	0
18	pixel	91	5	1242.67	1978.33	2	13.33	0
19	pixel	91	6	1216.33	1212.33	1	13.33	0
20	pixel	91	7	2088.00	1305.33	2	13.33	0
21	pixel	91	8	2132.00	872.33	4	13.33	0
22	pixel	91	9	1328.00	367.33	3	13.33	0
23	pixel	91	10	1141.00	1292	3	13.33	0
24	pixel	91	11	1210.67	1807	3	13.33	0
25	pixel	91	12	1862.67	1862	4	13.33	0
26	pixel	91	13	2471.67	1997	3	13.33	0
27	pixel	91	14	1183.67	619	6	13.33	0
28	pixel	91	15	2089.67	788	6	13.33	0
29	pixel	91	16	2261.67	493.00	5	13.33	0
30	pixel	91	17	1963.67	489.00	6	13.33	0
31	pixel	91	18	2277.67	2093	6	13.33	0
32	pixel	91	19	1231.67	737	5	13.33	0
33	pixel	91	20	1942.67	1104	6	13.33	0
34	pixel	91	21	2266.67	1085	7	13.33	0
35	pixel	91	22	1398.67	395.00	8	13.33	0
36	pixel	91	23	1175.67	1517	7	13.33	0
37	pixel	91	24	1453.67	1804	8	13.33	0
38	pixel	91	25	1911.67	1511	7	13.33	0
39	pixel	91	26	2417.67	1696	8	13.33	0
40	pixel	91	27	2483.67	1217	8	13.33	0
41	pixel	91	28	2782.67	1690	8	13.33	0
42	pixel	91	29	2388.67	1495	7	13.33	0
43	pixel	91	30	1952.67	1513	8	13.33	0
44	pixel	91	31	1531.67	611	10	13.33	0
45	pixel	91	32	2220.67	533	10	13.33	0
46	pixel	91	33	2412.67	612	10	13.33	0
47	pixel	91	34	2560.67	1101	10	13.33	0
48	pixel	91	35	2235.67	1928	10	13.33	0
49	pixel	91	36	1674.67	756	11	13.33	0
50	pixel	91	37	1492.67	959	12	13.33	0
51	pixel	91	38	1353.67	909	11	13.33	0
52	pixel	91	39	2104.67	1808	12	13.33	0
53	pixel	91	40	2783.67	1830	12	13.33	0
54	pixel	91	41	1359.67	2072	12	13.33	0
55	pixel	91	42	1095.67	2146	12	13.33	0
56	pixel	91	43	1327.33	403.00	16	13.33	0
57	pixel	91	44	2266.33	890	16	13.33	0
58	pixel	91	45	2520.33	830	16	13.33	0
59	pixel	91	46	1841.33	1050	15	13.33	0
60	pixel	91	47	1261.33	1464	16	13.33	0
61	pixel	91	48	1949.33	1881	16	13.33	0
62	pixel	91	49	2656.33	1671	16	13.33	0
63	pixel	91	50	2222.33	2078	16	13.33	0
64	pixel	91	51	1803.33	1171	16	13.33	0
65	pixel	91	52	1043.33	1481	17	13.33	0
66	pixel	91	53	1939.00	1717	18	13.33	0
67	pixel	91	54	2731.00	1186	18	13.33	0
68	pixel	91	55	2756.00	1873	18	13.33	0
69	pixel	91	56	2511.00	616	17	13.33	0
70	pixel	91	57	2205.00	1350	17	13.33	0
71	pixel	91	58	1124.00	789	19	13.33	0
72	pixel	91	59	1639.00	1221	20	13.33	0
73	pixel	91	60	2414.00	2069	20	13.33	0
74	pixel	91	61	1609.00	433.00	21	13.33	0
75	pixel	91	62	1861.00	524	21	13.33	0
76	pixel	91	63	1677.00	1370	22	13.33	0
77	pixel	91	64	2630.00	2139	21	13.33	0
78	pixel	94	1	1076	1112.00	1	13.33	0
79	pixel	94	2	1064.67	1251.67	2	13.33	0
80	pixel	94	3	1280.33	1655.67	1	13.33	0
81	pixel	94	4	1323.33	1721.67	2	13.33	0
82	pixel	94	5	1353.33	1905.67	2	13.33	0
83	pixel	94	6	1285.33	1838.67	1	13.33	0
84	pixel	94	7	2814.33	2008.67	2	13.33	0
85	pixel	94	8	2833.33	1986.67	1	13.33	0
86	pixel	94	9	1084.33	2187.67	1	13.33	0
87	pixel	94	10	1179.33	2276.67	2	13.33	0
88	pixel	94	11	1109.33	572.67	3	13.33	0
89	pixel	94	12	1075.33	698.33	4	13.33	0
90	pixel	94	13	1780.33	604.33	4	13.33	0
91	pixel	94	14	1857.33	536.33	3	13.33	0
92	pixel	94	15	2455.33	1003.00	4	13.33	0
93	pixel	94	16	2477.33	964.00	3	13.33	0
94	pixel	94	17	1484.33	1307	3	13.33	0
95	pixel	94	18	1472.33	1428	4	13.33	0
96	pixel	94	19	2930.33	826.00	3	13.33	0
97	pixel	94	20	2880.33	849.00	4	13.33	0
98	pixel	94	21	1166.33	1485	3	13.33	0
99	pixel	94	22	1232.33	1622	4	13.33	0
100	pixel	94	23	1770.33	1668	4	13.33	0
101	pixel	94	24	1689.33	1541	3	13.33	0
102	pixel	94	25	2579.33	1538	4	13.33	0
103	pixel	94	26	2545.33	1492	3	13.33	0
104	pixel	94	27	2163.33	2174	4	13.33	0
105	pixel	94	28	2011.33	2104	3	13.33	0
106	pixel	94	29	2961.33	1927	3	13.33	0
107	pixel	94	30	3021.33	1928	4	13.33	0
108	pixel	94	31	1499.33	2326	4	13.33	0
109	pixel	94	32	1345.33	2197	3	13.33	0
110	pixel	94	33	1737.33	168	5	13.33	0
111	pixel	94	34	1601.33	332.67	6	13.33	0
112	pixel	94	35	2212.33	625.67	5	13.33	0
113	pixel	94	36	1222.33	1125.67	5	13.33	0
114	pixel	94	37	2731.33	1130.67	6	13.33	0
115	pixel	94	38	2835.33	987.67	5	13.33	0
116	pixel	94	39	1187.33	1331.67	6	13.33	0
117	pixel	94	40	1200.33	1485.67	5	13.33	0
118	pixel	94	41	1211.33	1680.67	6	13.33	0
119	pixel	94	42	2843.33	1252.67	5	13.33	0
120	pixel	94	43	2780.33	1389.67	6	13.33	0
121	pixel	94	44	1114.33	903.67	7	13.33	0
122	pixel	94	45	1070.33	802.67	8	13.33	0
123	pixel	94	46	1690.33	1000.67	8	13.33	0
124	pixel	94	47	1666.33	1096.67	7	13.33	0
125	pixel	94	48	1987.33	379.67	8	13.33	0
126	pixel	94	49	2067.33	463.67	7	13.33	0
127	pixel	94	50	1309.33	773.67	7	13.33	0
128	pixel	94	51	1293.33	660.67	8	13.33	0
129	pixel	94	52	2630.33	1280.67	7	13.33	0
130	pixel	94	53	2666.33	1132.67	8	13.33	0
131	pixel	94	54	1127.33	1804.67	7	13.33	0
132	pixel	94	55	1173.33	1697.67	8	13.33	0
133	pixel	94	56	1181.33	2318.67	7	13.33	0
134	pixel	94	57	1253.33	2221.67	8	13.33	0
135	pixel	94	58	1859.33	1880.67	8	13.33	0
136	pixel	94	59	1805.33	1973.67	7	13.33	0
137	pixel	94	60	943.33	896.67	9	13.33	0
138	pixel	94	61	1006	963.67	10	13.33	0
139	pixel	94	62	1637	755.67	9	13.33	0
140	pixel	94	63	1610	800.67	10	13.33	0
141	pixel	94	64	2873	1186.67	10	13.33	0
142	pixel	94	65	2860	1207.67	9	13.33	0
143	pixel	94	66	1735	1457.67	9	13.33	0
144	pixel	94	67	1804	1501.67	10	13.33	0
145	pixel	94	68	1363	2103.67	10	13.33	0
146	pixel	94	69	1198	2005.67	9	13.33	0
147	pixel	94	70	1570	667.67	11	13.33	0
148	pixel	94	71	1554	683.67	12	13.33	0
149	pixel	94	72	1944	776.67	12	13.33	0
150	pixel	94	73	1976	799.67	11	13.33	0
151	pixel	94	74	2239	855.67	12	13.33	0
152	pixel	94	75	2198	929.67	11	13.33	0
153	pixel	94	76	2278	1148.67	11	13.33	0
154	pixel	94	77	2311	1123.67	12	13.33	0
155	pixel	94	78	1909	1132.67	11	13.33	0
156	pixel	94	79	1932	1130.67	12	13.33	0
157	pixel	94	80	1678	916.67	12	13.33	0
158	pixel	94	81	1645	885.67	11	13.33	0
159	pixel	94	82	2691	832.67	11	13.33	0
160	pixel	94	83	2669	791.67	12	13.33	0
161	pixel	94	84	939	1480.67	12	13.33	0
162	pixel	94	85	810.67	1418.67	11	13.33	0
163	pixel	94	86	1483.33	1978.67	11	13.33	0
164	pixel	94	87	1643.33	2015.67	12	13.33	0
165	pixel	94	88	2928.33	1422.67	11	13.33	0
166	pixel	94	89	2976.33	1368.67	12	13.33	0
167	pixel	94	90	1181.33	2023.67	11	13.33	0
168	pixel	94	91	2306.33	2332.67	12	13.33	0
169	pixel	94	92	2093.33	2305.67	11	13.33	0
170	pixel	94	93	1464.33	592.67	15	13.33	0
171	pixel	94	94	1331.33	695.67	16	13.33	0
172	pixel	94	95	1686.33	545.67	16	13.33	0
173	pixel	94	96	1860.33	457.67	15	13.33	0
174	pixel	94	97	2029.33	1538.67	16	13.33	0
175	pixel	94	98	2146.33	1460.67	15	13.33	0
176	pixel	94	99	2277.33	1324.67	16	13.33	0
177	pixel	94	100	2417.33	1273.67	15	13.33	0
178	pixel	94	101	1939.33	2004.67	16	13.33	0
179	pixel	94	102	1978.33	1882.67	15	13.33	0
180	pixel	94	103	1620.33	777.67	17	13.33	0
181	pixel	94	104	1638.33	884.67	18	13.33	0
182	pixel	94	105	1523.33	1396.67	18	13.33	0
183	pixel	94	106	1448.33	1266.67	17	13.33	0
184	pixel	94	107	1869.33	1485.67	18	13.33	0
185	pixel	94	108	1772.33	1424.67	17	13.33	0
186	pixel	94	109	2600.33	1536.67	18	13.33	0
187	pixel	94	110	2429.33	1425.67	17	13.33	0
188	pixel	94	111	2403.33	1750.67	17	13.33	0
189	pixel	94	112	2510.33	1831.67	18	13.33	0
190	pixel	94	113	1886.33	2213.67	17	13.33	0
191	pixel	94	114	2067.33	2340.67	18	13.33	0
192	pixel	94	115	3048.33	2270.67	18	13.33	0
193	pixel	94	116	2885.33	2178.67	17	13.33	0
194	pixel	94	117	2856.33	2074.67	18	13.33	0
195	pixel	94	118	2713.33	2015.67	17	13.33	0
196	pixel	94	119	3126.33	1962.67	18	13.33	0
