 	units	id	index	x	y	z	radius	name-id
1	pixel	136	1	2466	938.00	3	13.33	0
2	pixel	136	2	1160.67	1652.67	6	13.33	0
3	pixel	136	3	1560.33	2177.67	10	13.33	0
4	pixel	136	4	1206.33	582.67	20	13.33	0
5	pixel	136	5	1045.33	1089.33	27	13.33	0
6	pixel	136	6	1860	2021.33	27	13.33	0
7	pixel	136	7	1158	1523.33	30	13.33	0
8	pixel	136	8	2081	533.33	31	13.33	0
9	pixel	136	9	2738	2115	36	13.33	0
10	pixel	139	1	2031.00	680	1	13.33	0
11	pixel	139	2	2183.67	1067.67	1	13.33	0
12	pixel	139	3	2362.67	823.67	1	13.33	0
13	pixel	139	4	2413.67	1132.67	2	13.33	0
14	pixel	139	5	2663.67	704.67	2	13.33	0
15	pixel	139	6	2659.67	528.67	1	13.33	0
16	pixel	139	7	1255.67	2133.33	2	13.33	0
17	pixel	139	8	2569.33	2294.33	2	13.33	0
18	pixel	139	9	2841.33	2153.33	2	13.33	0
19	pixel	139	10	1238.33	604.33	4	13.33	0
20	pixel	139	11	1879.00	1353.33	4	13.33	0
21	pixel	139	12	1804.00	2265.33	3	13.33	0
22	pixel	139	13	2879	1738.33	4	13.33	0
23	pixel	139	14	1392.00	1589.33	3	13.33	0
24	pixel	139	15	2797	782.33	4	13.33	0
25	pixel	139	16	2176	1233.33	5	13.33	0
26	pixel	139	17	1623.00	1316.33	6	13.33	0
27	pixel	139	18	2026.00	2000.33	6	13.33	0
28	pixel	139	19	1247.00	945.33	11	13.33	0
29	pixel	139	20	2649	1514.33	12	13.33	0
30	pixel	139	21	1057.00	1661.33	12	13.33	0
31	pixel	139	22	1776.67	1381.33	16	13.33	0
32	pixel	139	23	2028.67	1426.33	15	13.33	0
33	pixel	139	24	1882.67	2026.33	16	13.33	0
34	pixel	139	25	2034.67	561.33	17	13.33	0
35	pixel	139	26	1526.67	795.33	18	13.33	0
36	pixel	139	27	1793.67	1239.33	18	13.33	0
37	pixel	139	28	1867.67	1473.33	18	13.33	0
38	pixel	139	29	1684.67	1592.33	18	13.33	0
39	pixel	139	30	2374.67	1884.33	17	13.33	0
40	pixel	139	31	1328.67	753.33	19	13.33	0
41	pixel	139	32	1060.67	1576.33	20	13.33	0
42	pixel	139	33	2932.67	1571.33	20	13.33	0
43	pixel	139	34	1958.67	2280.33	20	13.33	0
44	pixel	139	35	1461.67	2138.33	19	13.33	0
45	pixel	139	36	2383.67	2184.33	19	13.33	0
46	pixel	139	37	1915.67	666.33	21	13.33	0
47	pixel	139	38	1437.67	936.33	21	13.33	0
48	pixel	139	39	2087.67	792.33	21	13.33	0
49	pixel	139	40	1279.67	1681.33	21	13.33	0
50	pixel	139	41	1551.67	1754.33	21	13.33	0
51	pixel	139	42	1087.67	1930.33	22	13.33	0
52	pixel	139	43	2325.67	1153.33	22	13.33	0
53	pixel	139	44	2404.67	1594.33	22	13.33	0
54	pixel	139	45	2101.67	1835.33	21	13.33	0
55	pixel	139	46	2182.67	1765.33	21	13.33	0
56	pixel	139	47	1220.67	2234.33	21	13.33	0
57	pixel	139	48	1841.67	2000.33	21	13.33	0
58	pixel	139	49	2164.67	407.33	22	13.33	0
59	pixel	139	50	1260.67	462.00	24	13.33	0
60	pixel	139	51	1816.67	552	23	13.33	0
61	pixel	139	52	2294.67	1073	23	13.33	0
62	pixel	139	53	1508.67	2247	23	13.33	0
63	pixel	139	54	1141.67	1364	26	13.33	0
64	pixel	139	55	1397.67	592	28	13.33	0
65	pixel	139	56	2410.67	1248	28	13.33	0
66	pixel	139	57	1918.67	1920	28	13.33	0
67	pixel	139	58	2853.67	1305	28	13.33	0
68	pixel	139	59	2132.67	957	29	13.33	0
69	pixel	139	60	1581.67	1339	30	13.33	0
70	pixel	139	61	2630.67	1367	32	13.33	0
71	pixel	139	62	2605.67	1314	31	13.33	0
72	pixel	139	63	1691.67	911	33	13.33	0
73	pixel	139	64	1919.67	1082	34	13.33	0
74	pixel	139	65	2927.67	1189	33	13.33	0
75	pixel	139	66	2568.67	1512	33	13.33	0
76	pixel	139	67	2760.67	1649	33	13.33	0
77	pixel	139	68	1644.67	1778	34	13.33	0
78	pixel	139	69	2716.67	1938	34	13.33	0
79	pixel	139	70	1007.67	418.00	34	13.33	0
80	pixel	139	71	2816.33	1136	35	13.33	0
81	pixel	139	72	2571.33	1033	35	13.33	0
82	pixel	139	73	1326.33	1656	36	13.33	0
83	pixel	139	74	1248.33	1831	36	13.33	0
84	pixel	139	75	1205.33	2071	36	13.33	0
85	pixel	139	76	1451.33	2283	35	13.33	0
86	pixel	139	77	1535.33	781	37	13.33	0
87	pixel	142	1	2331.00	931.00	1	13.33	0
88	pixel	142	2	2292.67	808.67	2	13.33	0
89	pixel	142	3	1830.67	568.33	2	13.33	0
90	pixel	142	4	1894.33	687.00	1	13.33	0
91	pixel	142	5	1990.33	452.00	2	13.33	0
92	pixel	142	6	2022.33	566.67	1	13.33	0
93	pixel	142	7	2684.33	851.67	1	13.33	0
94	pixel	142	8	1701.33	1567.67	1	13.33	0
95	pixel	142	9	1747.00	1469.67	2	13.33	0
96	pixel	142	10	1315	1737.67	2	13.33	0
97	pixel	142	11	1223.67	1883.67	1	13.33	0
98	pixel	142	12	2264.33	1593.67	2	13.33	0
99	pixel	142	13	2198.33	1707.67	1	13.33	0
100	pixel	142	14	2559.33	1778.67	1	13.33	0
101	pixel	142	15	2665.33	1656.67	2	13.33	0
102	pixel	142	16	2617.33	1849.67	2	13.33	0
103	pixel	142	17	2524.33	1959.67	1	13.33	0
104	pixel	142	18	1156.33	2223.67	1	13.33	0
105	pixel	142	19	1312	2084.67	2	13.33	0
106	pixel	142	20	1769.00	1562.67	2	13.33	0
107	pixel	142	21	1743.00	1684.67	1	13.33	0
108	pixel	142	22	2405	2138.67	2	13.33	0
109	pixel	142	23	2277	2250.67	1	13.33	0
110	pixel	142	24	1036	624.67	4	13.33	0
111	pixel	142	25	1042.67	899.67	3	13.33	0
112	pixel	142	26	1489.67	40.67	4	13.33	0
113	pixel	142	27	1581.67	373.33	3	13.33	0
114	pixel	142	28	1999.67	1550.33	4	13.33	0
115	pixel	142	29	1939.67	1830.33	3	13.33	0
116	pixel	142	30	1219.67	2081.33	3	13.33	0
117	pixel	142	31	1329.67	1793.33	4	13.33	0
118	pixel	142	32	2161.67	2009.33	4	13.33	0
119	pixel	142	33	2051.67	2282.33	3	13.33	0
120	pixel	142	34	994.67	1362.33	4	13.33	0
121	pixel	142	35	935.33	1617.33	3	13.33	0
122	pixel	142	36	2352	988.33	5	13.33	0
123	pixel	142	37	2340	1040.33	6	13.33	0
124	pixel	142	38	2499	804.33	6	13.33	0
125	pixel	142	39	2505	783.33	5	13.33	0
126	pixel	142	40	1280	2009.33	5	13.33	0
127	pixel	142	41	1385	2098.33	6	13.33	0
128	pixel	142	42	1931	2067.33	5	13.33	0
129	pixel	142	43	2024	2141.33	6	13.33	0
130	pixel	142	44	1334	2190.33	10	13.33	0
131	pixel	142	45	1348	2235.33	9	13.33	0
132	pixel	142	46	1598	867.33	12	13.33	0
133	pixel	142	47	1690	829.33	11	13.33	0
134	pixel	142	48	2212	1510.33	11	13.33	0
135	pixel	142	49	2135	1530.33	12	13.33	0
136	pixel	142	50	1467	1880.33	12	13.33	0
137	pixel	142	51	1462	1830.33	11	13.33	0
138	pixel	142	52	1900	1809.33	12	13.33	0
139	pixel	142	53	1952	1774.33	11	13.33	0
140	pixel	142	54	2275	1790.33	12	13.33	0
141	pixel	142	55	2364	1765.33	11	13.33	0
142	pixel	142	56	2556	2168.33	11	13.33	0
143	pixel	142	57	2520	2212.33	12	13.33	0
144	pixel	142	58	1212	845.33	15	13.33	0
145	pixel	142	59	1091	826.33	16	13.33	0
146	pixel	142	60	2200	1847.33	16	13.33	0
147	pixel	142	61	2198	1820.33	15	13.33	0
148	pixel	142	62	1366	631.33	17	13.33	0
149	pixel	142	63	1135	634.33	18	13.33	0
150	pixel	142	64	1551	690.33	18	13.33	0
151	pixel	142	65	1785	687.33	17	13.33	0
152	pixel	142	66	1768	760.33	18	13.33	0
153	pixel	142	67	2070	789.33	17	13.33	0
154	pixel	142	68	2225	971.33	18	13.33	0
155	pixel	142	69	2459	997.33	17	13.33	0
156	pixel	142	70	2548	875.33	17	13.33	0
157	pixel	142	71	2342	836.33	18	13.33	0
158	pixel	142	72	2374	1339.33	17	13.33	0
159	pixel	142	73	2149	1283.33	18	13.33	0
160	pixel	142	74	2832	1192.33	17	13.33	0
161	pixel	142	75	2573	1123.33	18	13.33	0
162	pixel	142	76	3002	1092.33	17	13.33	0
163	pixel	142	77	2653	1080.33	18	13.33	0
164	pixel	142	78	1702	1380.33	17	13.33	0
165	pixel	142	79	1518	1393.33	18	13.33	0
166	pixel	142	80	1790	2052.33	18	13.33	0
167	pixel	142	81	1939	2026.33	17	13.33	0
168	pixel	142	82	2805	2230.33	17	13.33	0
169	pixel	142	83	2608	2195.33	18	13.33	0
170	pixel	142	84	1801	808.33	19	13.33	0
171	pixel	142	85	1676	891.33	20	13.33	0
