 	units	id	index	x	y	z	radius	name-id
1	pixel	92	1	2691	1808.00	2	13.33	0
2	pixel	92	2	2910.67	604.67	4	13.33	0
3	pixel	92	3	1824.67	1239.33	9	13.33	0
4	pixel	92	4	1365.33	1526.33	11	13.33	0
5	pixel	92	5	2708	1254.33	13	13.33	0
6	pixel	92	6	1776.00	2057.33	13	13.33	0
7	pixel	92	7	1876.00	2102.33	18	13.33	0
8	pixel	92	8	1482.00	388.33	21	13.33	0
9	pixel	92	9	2511	927	22	13.33	0
10	pixel	92	10	2370	741	22	13.33	0
11	pixel	95	1	1210.00	1215	2	13.33	0
12	pixel	95	2	2908.67	616.67	1	13.33	0
13	pixel	95	3	1800.67	1378.33	1	13.33	0
14	pixel	95	4	1929.67	1665.33	2	13.33	0
15	pixel	95	5	2267.67	1557.33	2	13.33	0
16	pixel	95	6	2365.67	1468.33	1	13.33	0
17	pixel	95	7	1265.67	1298.33	1	13.33	0
18	pixel	95	8	2441.67	1194.33	1	13.33	0
19	pixel	95	9	2709.67	1350.33	1	13.33	0
20	pixel	95	10	1475.67	1765.33	2	13.33	0
21	pixel	95	11	1110.67	2148.33	2	13.33	0
22	pixel	95	12	1519.33	2191.33	2	13.33	0
23	pixel	95	13	2712.33	2091.33	1	13.33	0
24	pixel	95	14	1765.33	394.33	2	13.33	0
25	pixel	95	15	1353.33	1286	4	13.33	0
26	pixel	95	16	2517.33	656	3	13.33	0
27	pixel	95	17	2371.33	506	3	13.33	0
28	pixel	95	18	1184.33	1789	3	13.33	0
29	pixel	95	19	1173.33	1560	4	13.33	0
30	pixel	95	20	2700.33	1737	3	13.33	0
31	pixel	95	21	2729.33	1925	3	13.33	0
32	pixel	95	22	1750.33	2127	4	13.33	0
33	pixel	95	23	1885.33	1369	3	13.33	0
34	pixel	95	24	1634.33	1768	8	13.33	0
35	pixel	95	25	1113.33	2047	8	13.33	0
36	pixel	95	26	1869.33	2093	8	13.33	0
37	pixel	95	27	2301.33	2053	8	13.33	0
38	pixel	95	28	1115.33	1106	9	13.33	0
39	pixel	95	29	2142.33	1008	10	13.33	0
40	pixel	95	30	2024.33	1099	9	13.33	0
41	pixel	95	31	2270.33	1166	10	13.33	0
42	pixel	95	32	1230.33	1632	9	13.33	0
