 	units	id	index	x	y	z	radius	name-id
1	pixel	121	1	1661.00	661	10	13.33	0
2	pixel	121	2	2238.67	1623.67	9	13.33	0
3	pixel	121	3	1359.67	471.67	10	13.33	0
4	pixel	121	4	1992.33	916.33	11	13.33	0
5	pixel	121	5	2135.33	590.33	15	13.33	0
6	pixel	121	6	2830.33	848.33	16	13.33	0
7	pixel	121	7	2793.33	2156.33	15	13.33	0
8	pixel	121	8	2505.33	732.33	15	13.33	0
9	pixel	121	9	1263.33	1712.33	18	13.33	0
10	pixel	121	10	2910	1273.33	20	13.33	0
11	pixel	121	11	1827.00	1910.33	19	13.33	0
12	pixel	121	12	2800	1083.33	21	13.33	0
13	pixel	121	13	1591.00	1247.33	26	13.33	0
14	pixel	121	14	1506.00	1369.33	26	13.33	0
15	pixel	123	1	2287.00	734	2	13.33	0
16	pixel	123	2	1468.67	1219.67	1	13.33	0
17	pixel	123	3	1520.33	1157.67	2	13.33	0
18	pixel	123	4	1806.33	421.67	2	13.33	0
19	pixel	123	5	2513.33	1147.33	1	13.33	0
20	pixel	123	6	2799.33	1073.33	2	13.33	0
21	pixel	123	7	2672.33	857.33	2	13.33	0
22	pixel	123	8	1552.33	795.33	2	13.33	0
23	pixel	123	9	1175.33	1428.33	2	13.33	0
24	pixel	123	10	2377.00	1836.33	2	13.33	0
25	pixel	123	11	1399.00	1962.33	2	13.33	0
26	pixel	123	12	2061	2152.33	2	13.33	0
27	pixel	123	13	1953	1981.33	2	13.33	0
28	pixel	123	14	1125.00	1099.33	1	13.33	0
29	pixel	123	15	1667.67	2222.33	2	13.33	0
30	pixel	123	16	2682.67	668.33	4	13.33	0
31	pixel	123	17	2091.67	1176.33	3	13.33	0
32	pixel	123	18	2087.67	1417.33	3	13.33	0
33	pixel	123	19	2279.67	1465.33	4	13.33	0
34	pixel	123	20	2499.67	1376.33	3	13.33	0
35	pixel	123	21	1560.67	1829.33	3	13.33	0
36	pixel	123	22	1570.67	1663.33	3	13.33	0
37	pixel	123	23	1421.67	857.33	7	13.33	0
38	pixel	123	24	1838.67	847.33	8	13.33	0
39	pixel	123	25	2174.67	604.33	8	13.33	0
40	pixel	123	26	2807.67	943.33	8	13.33	0
41	pixel	123	27	2500.67	628.33	7	13.33	0
42	pixel	123	28	1796.67	485.33	7	13.33	0
43	pixel	123	29	2198.67	1597.33	8	13.33	0
44	pixel	123	30	2253.67	1343.33	7	13.33	0
45	pixel	123	31	2251.67	2017.33	7	13.33	0
