 	units	id	index	x	y	z	radius	name-id
1	pixel	59	1	1712	1254	11	13.33	0
2	pixel	62	1	1835.00	1500	6	13.33	0
3	pixel	62	2	1954.67	1462.67	5	13.33	0
4	pixel	62	3	2162.67	2059.33	6	13.33	0
5	pixel	62	4	2441.67	498.33	5	13.33	0
6	pixel	62	5	1572.67	631.00	8	13.33	0
7	pixel	62	6	1971.33	516.00	8	13.33	0
8	pixel	62	7	1907.33	612.00	8	13.33	0
9	pixel	62	8	1975.33	669.00	7	13.33	0
10	pixel	62	9	1221.33	1113.00	7	13.33	0
11	pixel	62	10	1338.00	626.00	7	13.33	0
12	pixel	62	11	2050	885.00	8	13.33	0
13	pixel	62	12	2565	789.00	7	13.33	0
14	pixel	62	13	2701	1483	7	13.33	0
15	pixel	62	14	1815.00	1997	8	13.33	0
16	pixel	62	15	1242.00	1918	7	13.33	0
17	pixel	62	16	2315	813.00	12	13.33	0
18	pixel	62	17	2265	707.00	12	13.33	0
19	pixel	62	18	2492	308.00	12	13.33	0
20	pixel	62	19	2900	630.67	11	13.33	0
21	pixel	62	20	1983.00	955.67	12	13.33	0
22	pixel	65	1	2295	365.00	6	13.33	0
23	pixel	65	2	2065.67	521.67	6	13.33	0
24	pixel	65	3	2062.33	409.67	5	13.33	0
25	pixel	65	4	1884	554.67	5	13.33	0
26	pixel	65	5	1081.67	1173.67	5	13.33	0
27	pixel	65	6	1344.33	1158.67	6	13.33	0
28	pixel	65	7	1426.33	1261.67	5	13.33	0
29	pixel	65	8	1668.33	1256.67	6	13.33	0
30	pixel	65	9	2243.33	728.67	6	13.33	0
31	pixel	65	10	2070.33	817.67	5	13.33	0
32	pixel	65	11	1884.33	884.67	5	13.33	0
33	pixel	65	12	2132.33	853.67	6	13.33	0
34	pixel	65	13	2612.33	1102.67	5	13.33	0
35	pixel	65	14	2880.33	1064.67	6	13.33	0
36	pixel	65	15	2792.33	657.67	5	13.33	0
37	pixel	65	16	3021.33	592.67	6	13.33	0
38	pixel	65	17	2844.33	1782.67	6	13.33	0
39	pixel	65	18	2576.33	1787.67	5	13.33	0
40	pixel	65	19	1651.33	2162.67	5	13.33	0
41	pixel	65	20	2007.33	2166.67	6	13.33	0
42	pixel	65	21	1415.33	2259.67	5	13.33	0
43	pixel	65	22	1786.33	2237.67	6	13.33	0
44	pixel	65	23	1041.33	440.67	5	13.33	0
45	pixel	65	24	1249.00	449.67	6	13.33	0
46	pixel	65	25	1444.00	733.67	8	13.33	0
47	pixel	65	26	1599.00	658.67	7	13.33	0
48	pixel	65	27	1479.00	1441.67	7	13.33	0
49	pixel	65	28	1431.00	1518.67	8	13.33	0
50	pixel	65	29	1263.00	1689.67	8	13.33	0
51	pixel	65	30	1296.00	1575.67	7	13.33	0
52	pixel	65	31	2948	1885.67	8	13.33	0
53	pixel	65	32	2960	1779.67	7	13.33	0
54	pixel	65	33	1883.00	426.67	9	13.33	0
55	pixel	65	34	1847.00	375.67	10	13.33	0
56	pixel	65	35	2962	670.67	10	13.33	0
57	pixel	65	36	2986	760.67	9	13.33	0
58	pixel	65	37	1363.00	645.67	11	13.33	0
59	pixel	65	38	1329.00	671.67	12	13.33	0
60	pixel	65	39	1500.00	1252.67	12	13.33	0
61	pixel	65	40	1520.00	1256.67	11	13.33	0
62	pixel	65	41	2529	353.67	11	13.33	0
63	pixel	65	42	2582	668.33	11	13.33	0
64	pixel	65	43	2576	612.33	12	13.33	0
65	pixel	65	44	2945	766.33	11	13.33	0
66	pixel	65	45	2953	687.33	12	13.33	0
67	pixel	68	1	2422	805.00	5	13.33	0
68	pixel	68	2	2665.67	761.67	6	13.33	0
69	pixel	68	3	2306.67	679.33	5	13.33	0
70	pixel	68	4	2513.33	642.00	6	13.33	0
71	pixel	68	5	2608.33	628.67	7	13.33	0
72	pixel	68	6	2477.33	640.33	8	13.33	0
73	pixel	68	7	1912.33	2388.33	8	13.33	0
74	pixel	68	8	1866	2207.33	7	13.33	0
75	pixel	68	9	1368.67	402.33	7	13.33	0
76	pixel	68	10	1223.33	475.00	8	13.33	0
77	pixel	68	11	2217	413.00	11	13.33	0
78	pixel	68	12	2145	339.00	12	13.33	0
79	pixel	68	13	2432	358.67	11	13.33	0
80	pixel	68	14	2412	314.67	12	13.33	0
81	pixel	71	1	2549	1157.00	5	13.33	0
82	pixel	71	2	1925.67	1942.67	6	13.33	0
83	pixel	71	3	1927.33	1683.67	6	13.33	0
84	pixel	71	4	2885.33	703.67	10	13.33	0
85	pixel	71	5	2483.33	310.33	11	13.33	0
