 	units	id	index	x	y	z	radius	name-id
1	pixel	110	1	1504	1758	4	13.33	0
2	pixel	110	2	2905.67	765.67	7	13.33	0
3	pixel	110	3	2009.67	1881.33	9	13.33	0
4	pixel	110	4	1108.67	2013.33	11	13.33	0
5	pixel	110	5	1994.33	2116.33	11	13.33	0
6	pixel	110	6	1714.33	2013.33	16	13.33	0
7	pixel	110	7	2478.33	727.33	17	13.33	0
8	pixel	110	8	2813.33	1930	19	13.33	0
9	pixel	113	1	1800.00	712	1	13.33	0
10	pixel	113	2	1613.67	470.67	1	13.33	0
11	pixel	113	3	2308.33	865.33	1	13.33	0
12	pixel	113	4	2623.33	580.33	2	13.33	0
13	pixel	113	5	2238.33	1432.33	2	13.33	0
14	pixel	113	6	1612.33	1923.33	1	13.33	0
15	pixel	113	7	1940.00	929.33	3	13.33	0
16	pixel	113	8	1512.00	1368.33	4	13.33	0
17	pixel	113	9	1134.67	2008.33	4	13.33	0
18	pixel	113	10	1148.33	1980.33	3	13.33	0
19	pixel	113	11	2209.33	1386.33	4	13.33	0
20	pixel	113	12	1171.33	1574.33	3	13.33	0
21	pixel	113	13	1251.33	1749.33	4	13.33	0
22	pixel	113	14	1689.33	2155.33	3	13.33	0
23	pixel	113	15	1758.33	2096.33	4	13.33	0
24	pixel	113	16	1655.33	1415.33	3	13.33	0
25	pixel	113	17	1632.33	1465.33	5	13.33	0
26	pixel	113	18	1756.33	2038.33	5	13.33	0
27	pixel	113	19	2779.33	1891.33	6	13.33	0
28	pixel	113	20	1828.33	2168.33	5	13.33	0
29	pixel	113	21	1101.33	2199.33	6	13.33	0
30	pixel	113	22	1829.00	1167.33	5	13.33	0
31	pixel	113	23	2936.00	1034.33	7	13.33	0
32	pixel	113	24	2889.00	2030.33	7	13.33	0
33	pixel	113	25	1555.00	489.33	10	13.33	0
34	pixel	113	26	2137.00	849.33	10	13.33	0
35	pixel	113	27	1369.00	1192.33	9	13.33	0
36	pixel	113	28	2829.00	682.33	9	13.33	0
37	pixel	113	29	1744.00	1280.33	12	13.33	0
38	pixel	113	30	1096.00	1055.33	12	13.33	0
39	pixel	113	31	1658.67	547.33	12	13.33	0
40	pixel	113	32	2828.67	990.33	12	13.33	0
41	pixel	113	33	1748.67	2297.33	12	13.33	0
42	pixel	113	34	2134.67	2187.33	12	13.33	0
43	pixel	113	35	2306.67	2179.33	12	13.33	0
44	pixel	113	36	2812.67	2135.33	11	13.33	0
45	pixel	113	37	2573.67	1443.33	12	13.33	0
46	pixel	113	38	1144.67	1835.33	12	13.33	0
47	pixel	113	39	1000.67	2267.33	12	13.33	0
48	pixel	113	40	1483.33	665.33	13	13.33	0
49	pixel	113	41	1946.33	542.33	13	13.33	0
50	pixel	113	42	1095.33	391.33	14	13.33	0
51	pixel	113	43	2824.33	800	14	13.33	0
52	pixel	113	44	2424.33	658	14	13.33	0
53	pixel	113	45	2519.33	859	13	13.33	0
54	pixel	113	46	2841.33	754	13	13.33	0
55	pixel	113	47	1655.33	1475	13	13.33	0
56	pixel	113	48	2860.33	1838	13	13.33	0
57	pixel	113	49	2169.33	1900	14	13.33	0
58	pixel	113	50	2428.33	2124	14	13.33	0
59	pixel	113	51	2663.33	2149	13	13.33	0
60	pixel	113	52	1201.33	406.00	16	13.33	0
61	pixel	113	53	2439.33	649	15	13.33	0
62	pixel	113	54	2741.33	471.00	18	13.33	0
63	pixel	113	55	2835.33	1312	17	13.33	0
64	pixel	113	56	1367.33	526	20	13.33	0
65	pixel	113	57	1371.33	1334	19	13.33	0
66	pixel	113	58	2794.33	1943	20	13.33	0
67	pixel	113	59	1256.33	2206	20	13.33	0
68	pixel	113	60	2335.33	831	21	13.33	0
69	pixel	113	61	2897.33	1081	22	13.33	0
70	pixel	113	62	1955.33	1668	21	13.33	0
71	pixel	113	63	1294.33	1794	21	13.33	0
72	pixel	113	64	2392.33	636	24	13.33	0
73	pixel	113	65	1787.33	1402	23	13.33	0
74	pixel	113	66	1691.33	1486	23	13.33	0
