 	units	id	index	x	y	z	radius	name-id
1	pixel	80	1	1871.00	1841.00	4	13.33	0
2	pixel	80	2	1322.67	1419.67	10	13.33	0
3	pixel	80	3	1618.33	1085.33	12	13.33	0
4	pixel	80	4	2422.33	1323.00	11	13.33	0
5	pixel	80	5	1489.33	1641.00	16	13.33	0
6	pixel	80	6	2340.33	1255.00	19	13.33	0
7	pixel	80	7	1544.33	1920.00	20	13.33	0
8	pixel	83	1	1686.67	1369.67	1	13.33	0
9	pixel	83	2	2154.33	2225.67	2	13.33	0
10	pixel	83	3	1003.33	2191.67	1	13.33	0
11	pixel	83	4	2089	426.33	4	13.33	0
12	pixel	83	5	1340	761	4	13.33	0
13	pixel	83	6	2197	1847	3	13.33	0
14	pixel	83	7	1055	1521	4	13.33	0
15	pixel	83	8	1079	1795	4	13.33	0
16	pixel	83	9	1765	1312	5	13.33	0
17	pixel	83	10	1482	1257	5	13.33	0
18	pixel	83	11	2294	836	5	13.33	0
19	pixel	83	12	2963	665	5	13.33	0
20	pixel	83	13	1842	1670	6	13.33	0
21	pixel	83	14	1282	1915	5	13.33	0
22	pixel	83	15	2486	2178	6	13.33	0
23	pixel	83	16	2041	1811	5	13.33	0
24	pixel	83	17	2547	1921	6	13.33	0
25	pixel	83	18	2298	443.00	5	13.33	0
26	pixel	83	19	1614	483	6	13.33	0
27	pixel	83	20	2638	1196	8	13.33	0
28	pixel	83	21	1826	1341	7	13.33	0
29	pixel	83	22	1204	1793	7	13.33	0
30	pixel	83	23	2251	1621	8	13.33	0
31	pixel	83	24	2468	1977	7	13.33	0
32	pixel	83	25	2902	1950	8	13.33	0
33	pixel	83	26	1609	560	9	13.33	0
34	pixel	83	27	1816	955	9	13.33	0
35	pixel	83	28	1115	920	10	13.33	0
36	pixel	83	29	2641	644	9	13.33	0
37	pixel	83	30	2326	527	9	13.33	0
38	pixel	83	31	1037	1923	10	13.33	0
39	pixel	83	32	1263	2037	10	13.33	0
40	pixel	83	33	2275	1556	9	13.33	0
41	pixel	83	34	1579	1653	9	13.33	0
42	pixel	83	35	2424	2208	9	13.33	0
43	pixel	83	36	1485	549	10	13.33	0
44	pixel	83	37	2476	655	11	13.33	0
45	pixel	83	38	2151	1818	12	13.33	0
46	pixel	83	39	2135	1753	11	13.33	0
47	pixel	83	40	1125	2045	11	13.33	0
48	pixel	83	41	2696	1604	12	13.33	0
49	pixel	83	42	2574	1992	11	13.33	0
50	pixel	83	43	1525	2093	12	13.33	0
51	pixel	83	44	1246	405.00	13	13.33	0
52	pixel	83	45	2119	664.67	13	13.33	0
53	pixel	83	46	1192	794.67	16	13.33	0
54	pixel	83	47	1375	1136.67	15	13.33	0
55	pixel	83	48	1520	1423.67	15	13.33	0
56	pixel	83	49	1350	1560.67	15	13.33	0
57	pixel	83	50	1570	1983.67	16	13.33	0
58	pixel	83	51	1867	1847.67	16	13.33	0
59	pixel	83	52	2088	1983.67	16	13.33	0
60	pixel	83	53	1193	740.67	17	13.33	0
61	pixel	83	54	1061	1157.67	18	13.33	0
62	pixel	83	55	1904	541.67	18	13.33	0
63	pixel	83	56	1719	699.67	18	13.33	0
64	pixel	83	57	1160	955.67	18	13.33	0
65	pixel	83	58	2041	1163.67	18	13.33	0
66	pixel	83	59	2521	844.67	17	13.33	0
67	pixel	83	60	2513	1267.67	17	13.33	0
68	pixel	83	61	1924	1903.67	18	13.33	0
69	pixel	83	62	2091	1772.67	17	13.33	0
70	pixel	83	63	2399	1583.67	17	13.33	0
71	pixel	83	64	2084	1976.67	17	13.33	0
72	pixel	83	65	2662	2144.67	18	13.33	0
73	pixel	83	66	1908	1216.67	19	13.33	0
74	pixel	83	67	1940	592.67	20	13.33	0
75	pixel	83	68	2532	2003.67	19	13.33	0
76	pixel	83	69	1973	2068.67	19	13.33	0
77	pixel	86	1	1295.00	826.00	1	13.33	0
78	pixel	86	2	1299.67	688.67	2	13.33	0
79	pixel	86	3	1215.67	646.33	1	13.33	0
80	pixel	86	4	1175.33	533.00	2	13.33	0
81	pixel	86	5	1949.00	427.67	1	13.33	0
82	pixel	86	6	1861.00	285.33	2	13.33	0
83	pixel	86	7	1419.00	1535	1	13.33	0
84	pixel	86	8	1507.00	1483	2	13.33	0
85	pixel	86	9	2124	649.00	2	13.33	0
86	pixel	86	10	2132	750.00	1	13.33	0
87	pixel	86	11	1260.00	416.00	3	13.33	0
88	pixel	86	12	1319.00	429.00	4	13.33	0
89	pixel	86	13	1410.00	1097	4	13.33	0
90	pixel	86	14	1270.00	1089	3	13.33	0
91	pixel	86	15	1780.00	736.00	3	13.33	0
92	pixel	86	16	1890.00	729.00	4	13.33	0
93	pixel	86	17	1404.00	1401	4	13.33	0
94	pixel	86	18	1195.00	1386	3	13.33	0
95	pixel	86	19	1863.00	1485	3	13.33	0
96	pixel	86	20	2071	1515	4	13.33	0
97	pixel	86	21	2764	1862	3	13.33	0
98	pixel	86	22	3064.00	1895	4	13.33	0
99	pixel	86	23	1591.00	365.00	5	13.33	0
100	pixel	86	24	1543.00	364.00	6	13.33	0
101	pixel	86	25	1894.00	445.00	6	13.33	0
102	pixel	86	26	1925.00	448.00	5	13.33	0
103	pixel	86	27	1947.00	641.00	5	13.33	0
104	pixel	86	28	1975	625.00	6	13.33	0
105	pixel	86	29	1546.00	1166	6	13.33	0
106	pixel	86	30	1489.00	1140	5	13.33	0
107	pixel	86	31	1598.00	872.00	6	13.33	0
108	pixel	86	32	1591.00	849.00	5	13.33	0
109	pixel	86	33	1621.00	1342	5	13.33	0
110	pixel	86	34	1705.00	1361	6	13.33	0
111	pixel	86	35	1183.00	1337	5	13.33	0
112	pixel	86	36	1261.00	1364	6	13.33	0
113	pixel	86	37	2340	1182	5	13.33	0
114	pixel	86	38	2463	1176	6	13.33	0
115	pixel	86	39	945.00	1909	5	13.33	0
116	pixel	86	40	1085.67	1958	6	13.33	0
117	pixel	86	41	1335.67	845.00	7	13.33	0
118	pixel	86	42	1201.67	925.00	8	13.33	0
119	pixel	86	43	2297.67	741.00	7	13.33	0
120	pixel	86	44	2194.67	745.00	8	13.33	0
121	pixel	86	45	1830.67	1193	8	13.33	0
122	pixel	86	46	1893.67	1123	7	13.33	0
123	pixel	86	47	1269.67	544.00	7	13.33	0
124	pixel	86	48	1135.67	589.00	8	13.33	0
125	pixel	86	49	2572.67	1045	8	13.33	0
126	pixel	86	50	2685.67	1013.00	7	13.33	0
127	pixel	86	51	2327.67	1821	7	13.33	0
128	pixel	86	52	2378.67	1914	8	13.33	0
