 	units	id	index	x	y	z	radius	name-id
1	pixel	58	1	1449	1836	2	13.33	0
2	pixel	58	2	1158.67	1936.67	4	13.33	0
3	pixel	58	3	2472.33	2075.67	4	13.33	0
4	pixel	58	4	906.33	1543.67	11	13.33	0
5	pixel	61	1	1443	697.00	1	13.33	0
6	pixel	61	2	1737.67	784.67	2	13.33	0
7	pixel	61	3	2104.67	595.67	2	13.33	0
8	pixel	61	4	2443.67	567.33	2	13.33	0
9	pixel	61	5	1096.67	1853.00	1	13.33	0
10	pixel	61	6	1222.33	1297	2	13.33	0
11	pixel	61	7	1704.33	643.00	3	13.33	0
12	pixel	61	8	2736.33	751.00	3	13.33	0
13	pixel	61	9	2771.33	466	3	13.33	0
14	pixel	61	10	2595.33	481.67	3	13.33	0
15	pixel	61	11	2098.33	902.67	4	13.33	0
16	pixel	61	12	2379.33	334.67	3	13.33	0
17	pixel	61	13	2584.33	1380.33	3	13.33	0
18	pixel	61	14	2428.33	1233.33	4	13.33	0
19	pixel	61	15	2783.33	2095.33	3	13.33	0
20	pixel	61	16	1482.33	2298.33	4	13.33	0
21	pixel	61	17	1684.33	602.33	6	13.33	0
22	pixel	61	18	2633.33	748.33	6	13.33	0
23	pixel	61	19	1779.33	314.33	6	13.33	0
24	pixel	61	20	2530.33	1149	6	13.33	0
25	pixel	61	21	1107.33	1891	6	13.33	0
26	pixel	61	22	2455.33	1612	6	13.33	0
27	pixel	61	23	2320.33	1889	5	13.33	0
28	pixel	61	24	2637.33	1375	6	13.33	0
29	pixel	61	25	2273.33	2121	6	13.33	0
30	pixel	61	26	2129.33	2073	5	13.33	0
31	pixel	61	27	1954.33	1635	7	13.33	0
32	pixel	61	28	971.33	1657	7	13.33	0
33	pixel	61	29	936.00	1983	7	13.33	0
34	pixel	61	30	1063.67	1381	8	13.33	0
35	pixel	61	31	2534.67	1482	7	13.33	0
36	pixel	61	32	1436.67	788	12	13.33	0
37	pixel	61	33	1491.67	1231	12	13.33	0
38	pixel	61	34	1688.67	684	12	13.33	0
39	pixel	61	35	2465.67	777	11	13.33	0
40	pixel	61	36	2733.67	393.00	12	13.33	0
41	pixel	61	37	2561.67	499.00	11	13.33	0
42	pixel	61	38	2066.67	1644	11	13.33	0
43	pixel	61	39	1306.67	2201	11	13.33	0
44	pixel	61	40	1442.67	404.00	12	13.33	0
45	pixel	64	1	1707.00	1031	1	13.33	0
46	pixel	64	2	1487.67	1051.67	2	13.33	0
47	pixel	64	3	1920.33	875.67	2	13.33	0
48	pixel	64	4	2191.33	896.33	1	13.33	0
49	pixel	64	5	1149.33	1231.33	2	13.33	0
50	pixel	64	6	1308	1164.33	1	13.33	0
51	pixel	64	7	2513	846.33	1	13.33	0
52	pixel	64	8	2241	769.00	2	13.33	0
53	pixel	64	9	1889	1947.67	2	13.33	0
54	pixel	64	10	1965	1908.67	1	13.33	0
55	pixel	64	11	1009.00	1721.67	2	13.33	0
56	pixel	64	12	1076.67	1627.67	1	13.33	0
57	pixel	64	13	2319.67	1793.67	1	13.33	0
58	pixel	64	14	2193.67	1800.67	2	13.33	0
59	pixel	64	15	2902.67	1248.67	1	13.33	0
60	pixel	64	16	2677.67	1124.67	2	13.33	0
61	pixel	64	17	1803.67	2235.67	1	13.33	0
62	pixel	64	18	1786.67	2304.67	2	13.33	0
63	pixel	64	19	2091.67	2114.67	2	13.33	0
64	pixel	64	20	2134.67	2097.67	1	13.33	0
65	pixel	64	21	1081.67	546.67	3	13.33	0
66	pixel	64	22	868.67	679.33	4	13.33	0
67	pixel	64	23	1033.33	690.33	3	13.33	0
68	pixel	64	24	865.33	839.33	4	13.33	0
69	pixel	64	25	1521	1269.33	3	13.33	0
70	pixel	64	26	1396	1365.33	4	13.33	0
71	pixel	64	27	990.00	1444.33	4	13.33	0
72	pixel	64	28	1106	1281.33	3	13.33	0
73	pixel	64	29	2401	1401.33	4	13.33	0
74	pixel	64	30	2444	1360.33	3	13.33	0
75	pixel	64	31	2736	1656.33	4	13.33	0
76	pixel	64	32	2783	1704.33	3	13.33	0
77	pixel	64	33	2603	2217.33	4	13.33	0
78	pixel	64	34	2585	2199.33	3	13.33	0
79	pixel	64	35	950.00	734.33	5	13.33	0
80	pixel	64	36	912.00	783.33	6	13.33	0
81	pixel	64	37	1156	480.33	6	13.33	0
82	pixel	64	38	1261	467.00	5	13.33	0
83	pixel	64	39	1442	1033.67	5	13.33	0
84	pixel	64	40	1433	1057.67	6	13.33	0
85	pixel	64	41	1037	1035.67	6	13.33	0
86	pixel	64	42	1026	961.67	5	13.33	0
87	pixel	64	43	1822	1112.67	5	13.33	0
88	pixel	64	44	1853	1083.67	6	13.33	0
89	pixel	64	45	2427	925.67	5	13.33	0
90	pixel	64	46	2310	816.67	6	13.33	0
91	pixel	64	47	2834	1782.67	6	13.33	0
92	pixel	64	48	2690	1888.67	5	13.33	0
93	pixel	64	49	975.00	2187.67	5	13.33	0
94	pixel	64	50	1245	2289.67	6	13.33	0
95	pixel	64	51	1737	2079.67	5	13.33	0
96	pixel	64	52	1974	2108.67	6	13.33	0
97	pixel	64	53	1115	1301.67	5	13.33	0
98	pixel	64	54	1203	1366.67	6	13.33	0
99	pixel	64	55	1157	636.67	7	13.33	0
100	pixel	64	56	1147	508.67	8	13.33	0
101	pixel	64	57	1493	560.67	8	13.33	0
102	pixel	64	58	1596	752.67	7	13.33	0
103	pixel	64	59	1539	1236.67	7	13.33	0
104	pixel	64	60	1614	1074.67	8	13.33	0
105	pixel	64	61	2454	1091.67	8	13.33	0
106	pixel	64	62	2391	1340.67	7	13.33	0
107	pixel	64	63	2633	1629.67	7	13.33	0
108	pixel	64	64	2700	1375.67	8	13.33	0
109	pixel	64	65	1048	2309.67	7	13.33	0
110	pixel	64	66	1340	2246.67	8	13.33	0
111	pixel	64	67	1826	2349.67	7	13.33	0
112	pixel	64	68	2044	2218.67	8	13.33	0
113	pixel	64	69	2548	2491.67	7	13.33	0
114	pixel	64	70	2763	2305.67	8	13.33	0
115	pixel	64	71	1390	338.67	8	13.33	0
116	pixel	64	72	1427	491.33	7	13.33	0
117	pixel	64	73	2067	920.33	11	13.33	0
118	pixel	64	74	2028	851.33	11	13.33	0
119	pixel	64	75	1820	954.33	12	13.33	0
120	pixel	64	76	1895	1026.33	12	13.33	0
121	pixel	64	77	1410	675.33	12	13.33	0
122	pixel	64	78	1595	492.33	11	13.33	0
123	pixel	64	79	1676	437.33	12	13.33	0
124	pixel	64	80	1950	324.33	11	13.33	0
125	pixel	64	81	1794	608.00	12	13.33	0
126	pixel	64	82	2076	496.00	11	13.33	0
127	pixel	64	83	1527	1311.00	11	13.33	0
128	pixel	64	84	1406	1516.00	12	13.33	0
129	pixel	64	85	1935	1528.00	11	13.33	0
130	pixel	64	86	1841	1720.00	12	13.33	0
131	pixel	64	87	2027	2140	12	13.33	0
132	pixel	64	88	1963	1940.00	11	13.33	0
133	pixel	64	89	2373	1493.00	11	13.33	0
134	pixel	64	90	2266	1608.00	12	13.33	0
135	pixel	64	91	1002.00	1160.00	11	13.33	0
136	pixel	64	92	893.00	1433.00	12	13.33	0
137	pixel	64	93	1643	2282	12	13.33	0
138	pixel	64	94	1634	2034.00	11	13.33	0
139	pixel	64	95	863.00	2006.00	11	13.33	0
140	pixel	64	96	903.67	2327	12	13.33	0
141	pixel	67	1	1926.00	1341	3	13.33	0
142	pixel	67	2	1841.67	1385.67	4	13.33	0
143	pixel	67	3	1590.33	2019.67	3	13.33	0
144	pixel	67	4	1602.00	2156.67	4	13.33	0
145	pixel	67	5	2141.00	1497.67	6	13.33	0
146	pixel	67	6	2064.00	1530.67	5	13.33	0
