 	units	id	index	x	y	z	radius	name-id
1	pixel	152	1	1176	1935.00	1	13.33	0
2	pixel	152	2	1183.67	766.67	4	13.33	0
3	pixel	152	3	1476.67	2314.33	12	13.33	0
4	pixel	152	4	1202.67	1658.33	14	13.33	0
5	pixel	152	5	2171.67	364.33	13	13.33	0
6	pixel	152	6	1016.67	1071	16	13.33	0
7	pixel	152	7	2568.33	1965	21	13.33	0
8	pixel	152	8	1517.33	2140	21	13.33	0
9	pixel	152	9	1448.33	1494	23	13.33	0
10	pixel	152	10	2078.33	502.00	30	13.33	0
11	pixel	152	11	1328.33	2259	30	13.33	0
12	pixel	152	12	1861.33	2028	33	13.33	0
13	pixel	152	13	2131.33	2261	34	13.33	0
14	pixel	152	14	2226.33	390.00	44	13.33	0
15	pixel	155	1	1937.00	525	2	13.33	0
16	pixel	155	2	2334.67	632.67	1	13.33	0
17	pixel	155	3	1383.67	2007.67	2	13.33	0
18	pixel	155	4	2559.33	1956.67	2	13.33	0
19	pixel	155	5	2009.33	1740.67	2	13.33	0
20	pixel	155	6	1348.33	1587.67	2	13.33	0
21	pixel	155	7	2342	874.67	8	13.33	0
22	pixel	155	8	2057.00	1221.67	8	13.33	0
23	pixel	155	9	2763	1197.67	8	13.33	0
24	pixel	155	10	1851.00	1617.67	8	13.33	0
25	pixel	155	11	2459	1713.67	8	13.33	0
26	pixel	155	12	1302.00	2414.67	8	13.33	0
27	pixel	155	13	2734.67	1999.67	7	13.33	0
28	pixel	155	14	1067.67	1995.67	9	13.33	0
29	pixel	155	15	2645.33	2057.67	10	13.33	0
30	pixel	155	16	2750.33	2288.67	10	13.33	0
31	pixel	155	17	1039.33	794.67	12	13.33	0
32	pixel	155	18	2679.00	671.67	11	13.33	0
33	pixel	155	19	2442.00	820.67	11	13.33	0
34	pixel	155	20	1682.00	1767.67	12	13.33	0
35	pixel	155	21	1086.00	1526.67	11	13.33	0
36	pixel	155	22	1746.00	1925.67	11	13.33	0
37	pixel	155	23	1638.00	592.67	13	13.33	0
38	pixel	155	24	1740.00	904.67	13	13.33	0
39	pixel	155	25	2551.00	938.67	14	13.33	0
40	pixel	155	26	1852.00	1720.67	13	13.33	0
41	pixel	155	27	2300.00	2155.67	14	13.33	0
42	pixel	155	28	2785.00	964.67	13	13.33	0
43	pixel	155	29	905.00	499.67	14	13.33	0
44	pixel	155	30	1672.67	936.33	15	13.33	0
45	pixel	155	31	1878.67	1477.33	16	13.33	0
46	pixel	155	32	1103.67	1583.33	16	13.33	0
47	pixel	155	33	1504.67	1218.33	15	13.33	0
48	pixel	155	34	2817.67	1955.33	16	13.33	0
49	pixel	155	35	1941.67	2285.33	16	13.33	0
50	pixel	155	36	1892.67	2146.33	16	13.33	0
51	pixel	155	37	2760.67	1461.33	15	13.33	0
52	pixel	155	38	1058.67	2319.33	15	13.33	0
53	pixel	155	39	1341.67	605.33	17	13.33	0
54	pixel	155	40	2783.67	1123.33	17	13.33	0
55	pixel	155	41	1347.67	1628.33	17	13.33	0
56	pixel	155	42	2808.67	1466.33	18	13.33	0
57	pixel	155	43	1971.67	790.33	17	13.33	0
58	pixel	155	44	2624.67	412.33	17	13.33	0
59	pixel	155	45	1085.67	506.00	18	13.33	0
60	pixel	155	46	1536.67	1106	20	13.33	0
61	pixel	155	47	2665.67	714	19	13.33	0
62	pixel	155	48	2757.67	1072	20	13.33	0
63	pixel	155	49	2115.67	938	19	13.33	0
64	pixel	155	50	2432.67	1470	19	13.33	0
65	pixel	155	51	2724.67	1618	19	13.33	0
66	pixel	155	52	1635.67	1934	22	13.33	0
67	pixel	155	53	2575.67	1377	22	13.33	0
68	pixel	155	54	1218.67	2044	21	13.33	0
69	pixel	155	55	1761.67	1357	21	13.33	0
70	pixel	155	56	1297.67	755	25	13.33	0
71	pixel	155	57	1894.67	2188	26	13.33	0
72	pixel	155	58	1568.67	1042	28	13.33	0
73	pixel	155	59	1688.67	493.00	28	13.33	0
74	pixel	155	60	1843.67	429.00	28	13.33	0
75	pixel	155	61	2265.67	1095	28	13.33	0
76	pixel	155	62	2513.67	1114	28	13.33	0
77	pixel	155	63	2662.67	1047	28	13.33	0
78	pixel	155	64	2835.67	801	28	13.33	0
79	pixel	155	65	2655.67	847	27	13.33	0
80	pixel	155	66	2734.67	877	27	13.33	0
81	pixel	155	67	1906.67	1668	28	13.33	0
82	pixel	155	68	2079.67	977	27	13.33	0
83	pixel	155	69	1966.67	812	29	13.33	0
84	pixel	155	70	2362.67	1456	29	13.33	0
85	pixel	155	71	2370.67	1707	30	13.33	0
86	pixel	155	72	1501.67	909	31	13.33	0
87	pixel	155	73	1617.67	474.00	32	13.33	0
88	pixel	155	74	2761.67	1009	32	13.33	0
89	pixel	155	75	2775.67	1645	32	13.33	0
90	pixel	155	76	2777.67	1981	32	13.33	0
91	pixel	155	77	2805.67	2309	31	13.33	0
92	pixel	155	78	2430.67	1461	31	13.33	0
93	pixel	155	79	1567.67	1977	34	13.33	0
94	pixel	155	80	2184.67	1768	33	13.33	0
95	pixel	155	81	1738.67	2247	33	13.33	0
96	pixel	155	82	2019.67	1319	35	13.33	0
97	pixel	155	83	1892.67	789	36	13.33	0
98	pixel	155	84	1242.67	847	35	13.33	0
99	pixel	155	85	2068.67	956	40	13.33	0
100	pixel	155	86	2345.67	533	39	13.33	0
101	pixel	155	87	2179.67	1494	40	13.33	0
102	pixel	155	88	2395.67	1689	40	13.33	0
103	pixel	155	89	2119.67	557	39	13.33	0
104	pixel	155	90	2341.67	500.00	42	13.33	0
105	pixel	155	91	2490.67	476.00	42	13.33	0
106	pixel	155	92	2844.67	1208	41	13.33	0
107	pixel	155	93	1741.67	1367	41	13.33	0
108	pixel	155	94	1305.67	1482	42	13.33	0
109	pixel	158	1	1610.00	567.00	1	13.33	0
110	pixel	158	2	1327.67	375.67	2	13.33	0
111	pixel	158	3	1612.33	1146.33	2	13.33	0
112	pixel	158	4	1784.33	1288.33	1	13.33	0
113	pixel	158	5	1426.33	1078.33	2	13.33	0
114	pixel	158	6	1627.33	1210.33	1	13.33	0
115	pixel	158	7	2443.33	1145.33	1	13.33	0
116	pixel	158	8	2254.33	861.33	2	13.33	0
117	pixel	158	9	2096.33	1028.33	2	13.33	0
118	pixel	158	10	2298.33	1261.33	1	13.33	0
119	pixel	158	11	2295.33	447.33	1	13.33	0
120	pixel	158	12	1962.33	173.33	2	13.33	0
121	pixel	158	13	2832.33	817	2	13.33	0
122	pixel	158	14	3066.33	1189.00	1	13.33	0
123	pixel	158	15	1803.33	562.00	1	13.33	0
124	pixel	158	16	1479.33	352.00	2	13.33	0
125	pixel	158	17	2189.33	1680.00	2	13.33	0
126	pixel	158	18	2251.33	1887.00	1	13.33	0
127	pixel	158	19	2473.33	1638.00	1	13.33	0
128	pixel	158	20	2348.33	1388.00	2	13.33	0
129	pixel	158	21	871.33	2218	1	13.33	0
130	pixel	158	22	944.00	2269	2	13.33	0
131	pixel	158	23	1186.00	1140	3	13.33	0
