 	units	id	index	x	y	z	radius	name-id
1	pixel	90	1	1812	2226.00	3	13.33	0
2	pixel	90	2	2821.67	1560.67	8	13.33	0
3	pixel	90	3	2734.67	774.33	10	13.33	0
4	pixel	90	4	2760.67	2175.00	18	13.33	0
5	pixel	90	5	2664.67	2124.00	19	13.33	0
6	pixel	92	1	2015	1169.00	1	13.33	0
7	pixel	92	2	2198.67	1055.67	2	13.33	0
8	pixel	92	3	1113.67	1396.33	1	13.33	0
9	pixel	92	4	1662.33	1955.33	2	13.33	0
10	pixel	92	5	2090.33	1665.33	2	13.33	0
11	pixel	92	6	2634.33	448.33	3	13.33	0
12	pixel	92	7	2832.33	1352.00	3	13.33	0
13	pixel	92	8	2703.33	1745.00	3	13.33	0
14	pixel	92	9	930.33	1864.00	7	13.33	0
15	pixel	92	10	2377	1169.00	8	13.33	0
16	pixel	92	11	2775	2230	7	13.33	0
17	pixel	92	12	2457	1104.00	10	13.33	0
18	pixel	92	13	1584	1449.00	10	13.33	0
19	pixel	92	14	1813	2244	10	13.33	0
20	pixel	92	15	1275	1160.00	11	13.33	0
21	pixel	92	16	2759	1079.00	11	13.33	0
22	pixel	92	17	1229	1850.00	12	13.33	0
23	pixel	92	18	2255	1371.00	11	13.33	0
24	pixel	92	19	2300	2169	11	13.33	0
25	pixel	92	20	2159	1982.00	11	13.33	0
26	pixel	92	21	1754	466.00	11	13.33	0
27	pixel	92	22	1608	509.00	13	13.33	0
28	pixel	92	23	2020	918.00	13	13.33	0
29	pixel	92	24	2854	1108.00	14	13.33	0
30	pixel	92	25	1824	1771.00	14	13.33	0
31	pixel	92	26	1187	1110.00	17	13.33	0
32	pixel	92	27	2250	878.00	17	13.33	0
33	pixel	92	28	2709	609.00	18	13.33	0
34	pixel	92	29	1342	1592.00	18	13.33	0
35	pixel	92	30	1230	2073	18	13.33	0
36	pixel	92	31	1271	622.00	20	13.33	0
37	pixel	92	32	1475	752.00	19	13.33	0
38	pixel	92	33	1176	1639.00	19	13.33	0
39	pixel	92	34	962.00	2194	19	13.33	0
40	pixel	94	1	1811.00	940.00	1	13.33	0
41	pixel	94	2	1879.67	904.67	2	13.33	0
42	pixel	94	3	2419.67	685.33	1	13.33	0
43	pixel	94	4	2504.67	937.00	1	13.33	0
44	pixel	94	5	2592.67	903.00	2	13.33	0
45	pixel	94	6	2567.67	514.00	2	13.33	0
46	pixel	94	7	1309.67	1318.67	1	13.33	0
47	pixel	94	8	1327.33	1318.67	2	13.33	0
48	pixel	94	9	2492.33	1428.67	1	13.33	0
49	pixel	94	10	2478.33	1442.67	2	13.33	0
50	pixel	94	11	1061.33	2244.67	1	13.33	0
51	pixel	94	12	1000.00	2227.67	2	13.33	0
52	pixel	94	13	2026.67	1755.67	3	13.33	0
53	pixel	94	14	1829.67	1699.67	4	13.33	0
54	pixel	94	15	2455.67	695.67	7	13.33	0
55	pixel	94	16	2581.67	621.67	8	13.33	0
56	pixel	94	17	1423.67	1515.67	7	13.33	0
57	pixel	94	18	1381.67	1526.67	8	13.33	0
58	pixel	94	19	2000.67	1656.67	7	13.33	0
59	pixel	94	20	1853.67	1618.67	8	13.33	0
60	pixel	94	21	1429.67	803.67	9	13.33	0
61	pixel	94	22	1262.67	605.67	9	13.33	0
62	pixel	94	23	1395.67	533.67	10	13.33	0
63	pixel	94	24	1527.67	733.67	10	13.33	0
64	pixel	94	25	2309.67	622.67	9	13.33	0
65	pixel	94	26	2416.67	548.67	10	13.33	0
66	pixel	94	27	1254.67	1814.67	9	13.33	0
67	pixel	94	28	1248.67	1850.67	10	13.33	0
