 	units	id	index	x	y	z	radius	name-id
1	pixel	56	1	1794	557	3	13.33	0
2	pixel	56	2	2121.67	1105.67	6	13.33	0
3	pixel	59	1	1224	553	1	13.33	0
4	pixel	59	2	1180.67	1017.67	1	13.33	0
5	pixel	59	3	2558.33	835.67	1	13.33	0
6	pixel	59	4	1495.33	1469.67	1	13.33	0
7	pixel	59	5	969.33	1748.67	1	13.33	0
8	pixel	59	6	2418	1547.67	2	13.33	0
9	pixel	59	7	2638	1753.67	1	13.33	0
10	pixel	59	8	1202	2018.67	1	13.33	0
11	pixel	59	9	1054	2052.67	1	13.33	0
12	pixel	59	10	2317	1903.67	1	13.33	0
13	pixel	59	11	1109	966.67	4	13.33	0
14	pixel	59	12	1962	834.67	4	13.33	0
15	pixel	59	13	1161	2027.67	4	13.33	0
16	pixel	59	14	1383	2223.67	4	13.33	0
17	pixel	59	15	2153	2129.67	4	13.33	0
18	pixel	59	16	2080	2273.67	4	13.33	0
19	pixel	59	17	1624	1586.67	3	13.33	0
20	pixel	59	18	1178	329.67	10	13.33	0
21	pixel	59	19	1682	1631.33	10	13.33	0
22	pixel	59	20	1643	1625.33	10	13.33	0
23	pixel	59	21	1894	1193.33	9	13.33	0
24	pixel	59	22	1381	1041.33	11	13.33	0
25	pixel	59	23	1118	1091.33	12	13.33	0
26	pixel	59	24	2218	673.33	12	13.33	0
27	pixel	59	25	2433	1079.33	11	13.33	0
28	pixel	59	26	1350	1217.33	11	13.33	0
29	pixel	59	27	914.00	1399.33	12	13.33	0
30	pixel	59	28	2754.67	1420.33	12	13.33	0
31	pixel	62	1	1740.00	978.00	1	13.33	0
32	pixel	62	2	1728.67	1053.67	2	13.33	0
33	pixel	62	3	1738.33	803.67	2	13.33	0
34	pixel	62	4	1794.33	675.33	1	13.33	0
35	pixel	62	5	2323.33	861.00	1	13.33	0
36	pixel	62	6	2304.33	935.00	2	13.33	0
37	pixel	62	7	1526.33	730.00	2	13.33	0
38	pixel	62	8	1611.00	669.00	1	13.33	0
39	pixel	62	9	2316	385.67	1	13.33	0
40	pixel	62	10	2266	465.33	2	13.33	0
41	pixel	62	11	2852	262.33	1	13.33	0
42	pixel	62	12	2780	390.00	2	13.33	0
43	pixel	62	13	2722	1307	2	13.33	0
44	pixel	62	14	2759	1262	1	13.33	0
45	pixel	62	15	2012	1941	1	13.33	0
46	pixel	62	16	2007	2013	2	13.33	0
47	pixel	62	17	1500.00	437.00	3	13.33	0
48	pixel	62	18	1422.67	566.00	4	13.33	0
49	pixel	62	19	1075.33	785.00	3	13.33	0
50	pixel	62	20	953.00	892.00	4	13.33	0
51	pixel	62	21	1591.67	1101	3	13.33	0
52	pixel	62	22	1481.67	1188	4	13.33	0
53	pixel	62	23	1043.67	1138	3	13.33	0
54	pixel	62	24	905.67	1285	4	13.33	0
55	pixel	62	25	2370.33	1062	3	13.33	0
56	pixel	62	26	2266.33	1121	4	13.33	0
57	pixel	62	27	971.33	1465	3	13.33	0
58	pixel	62	28	897.33	1584	4	13.33	0
59	pixel	62	29	1026.00	1856	3	13.33	0
60	pixel	62	30	886.00	2004	4	13.33	0
61	pixel	62	31	1730.67	1508	3	13.33	0
62	pixel	62	32	1625.67	1614	4	13.33	0
63	pixel	62	33	1646.67	1343	3	13.33	0
64	pixel	62	34	1529.67	1440	4	13.33	0
65	pixel	62	35	1697.67	1001.00	5	13.33	0
66	pixel	62	36	1681.67	977.00	6	13.33	0
67	pixel	62	37	1657.67	1233	6	13.33	0
68	pixel	62	38	1655.67	1261	5	13.33	0
69	pixel	62	39	2666.67	1296	5	13.33	0
70	pixel	62	40	2644.67	1222	6	13.33	0
71	pixel	62	41	1700.67	1806	6	13.33	0
72	pixel	62	42	1653.67	1823	5	13.33	0
73	pixel	62	43	2470.67	2233	5	13.33	0
74	pixel	62	44	2553.67	2157	6	13.33	0
75	pixel	62	45	2416.67	562.00	10	13.33	0
76	pixel	62	46	2197.67	574.00	9	13.33	0
77	pixel	62	47	2261.67	1155	9	13.33	0
78	pixel	62	48	2497.67	1127	10	13.33	0
79	pixel	62	49	1059.67	1740	9	13.33	0
80	pixel	62	50	1329.67	1754	10	13.33	0
81	pixel	62	51	1518.67	1761	10	13.33	0
82	pixel	62	52	1287.67	1751	9	13.33	0
83	pixel	62	53	2242.67	1314	10	13.33	0
84	pixel	62	54	2022.67	1322	9	13.33	0
85	pixel	62	55	2504.67	1395	10	13.33	0
86	pixel	62	56	2257.67	1314	9	13.33	0
87	pixel	62	57	2669.67	1380	9	13.33	0
88	pixel	62	58	2926.67	1347	10	13.33	0
89	pixel	62	59	1833.67	1776	9	13.33	0
90	pixel	62	60	2083.67	1866	10	13.33	0
91	pixel	62	61	1932.67	1994	9	13.33	0
92	pixel	62	62	2144.67	1947	10	13.33	0
93	pixel	62	63	1558.67	924.00	11	13.33	0
94	pixel	62	64	1659.67	916.00	12	13.33	0
95	pixel	62	65	2137.67	554.00	11	13.33	0
96	pixel	62	66	2239.67	533.00	12	13.33	0
97	pixel	62	67	2565.67	898.00	11	13.33	0
98	pixel	62	68	2660.67	808.00	12	13.33	0
99	pixel	62	69	2322.67	365.00	11	13.33	0
100	pixel	62	70	2428.67	354.00	12	13.33	0
101	pixel	62	71	1945.67	2198	12	13.33	0
102	pixel	62	72	1794.67	2253	11	13.33	0
103	pixel	65	1	2451.33	1190.33	1	13.33	0
104	pixel	65	2	2431.00	1241	2	13.33	0
105	pixel	65	3	2254.67	1990	4	13.33	0
106	pixel	65	4	2338.33	1968	3	13.33	0
107	pixel	65	5	2221.33	1771	6	13.33	0
108	pixel	65	6	2200.00	1828	5	13.33	0
109	pixel	68	1	2037.00	1685	4	13.33	0
110	pixel	68	2	1505.67	1668.67	4	13.33	0
111	pixel	68	3	2369.33	1129.33	6	13.33	0
112	pixel	68	4	1591.33	1153	7	13.33	0
113	pixel	68	5	1265.33	2159	12	13.33	0
114	pixel	68	6	2673	1129	12	13.33	0
