 	units	id	index	x	y	z	radius	name-id
1	pixel	122	1	1273	849.00	4	13.33	0
2	pixel	122	2	1561.67	1615.67	5	13.33	0
3	pixel	122	3	1791.67	825.67	8	13.33	0
4	pixel	122	4	2860.67	1189.33	8	13.33	0
5	pixel	122	5	1616.67	1625.33	8	13.33	0
6	pixel	122	6	2490.67	2143.33	7	13.33	0
7	pixel	122	7	2784.67	1582.33	9	13.33	0
8	pixel	122	8	1710.67	1684.33	11	13.33	0
9	pixel	122	9	1714.67	1188.33	13	13.33	0
10	pixel	122	10	2547.67	1392.33	13	13.33	0
11	pixel	122	11	2563.67	1578.33	13	13.33	0
12	pixel	122	12	1164.67	1618.33	16	13.33	0
13	pixel	122	13	991.33	1378.33	16	13.33	0
14	pixel	122	14	2299	1175.33	19	13.33	0
15	pixel	122	15	1323	1464.33	19	13.33	0
16	pixel	122	16	1973	1714.33	19	13.33	0
17	pixel	122	17	1145	578.33	23	13.33	0
18	pixel	122	18	1113	484.00	24	13.33	0
19	pixel	122	19	1835	1793.67	23	13.33	0
20	pixel	122	20	1892	529.67	29	13.33	0
21	pixel	122	21	1951	702.67	30	13.33	0
22	pixel	122	22	1782	1431.67	29	13.33	0
23	pixel	122	23	1218	2051.67	30	13.33	0
24	pixel	122	24	1375	1863.67	31	13.33	0
25	pixel	122	25	2438	1203.67	32	13.33	0
26	pixel	125	1	1531	461.00	3	13.33	0
27	pixel	125	2	1926.67	1052.67	4	13.33	0
28	pixel	125	3	1766.67	967.67	4	13.33	0
29	pixel	125	4	2002.67	326.67	4	13.33	0
30	pixel	125	5	942.67	1869.33	4	13.33	0
31	pixel	125	6	889.33	1829.33	4	13.33	0
32	pixel	125	7	1119	1651.33	4	13.33	0
33	pixel	125	8	2318	1551.33	3	13.33	0
34	pixel	125	9	2469	1585.33	3	13.33	0
35	pixel	125	10	2143	1929.33	3	13.33	0
36	pixel	125	11	2263	1957.33	3	13.33	0
37	pixel	125	12	1723	2261.33	4	13.33	0
38	pixel	125	13	1188	2056.33	4	13.33	0
39	pixel	125	14	1862	439.33	4	13.33	0
40	pixel	125	15	1388	798.33	6	13.33	0
41	pixel	125	16	1022	493.33	5	13.33	0
42	pixel	125	17	1134	1340.33	5	13.33	0
43	pixel	125	18	1521	1887.33	6	13.33	0
44	pixel	125	19	1154	473.33	8	13.33	0
45	pixel	125	20	1302	789.33	8	13.33	0
46	pixel	125	21	1310	1007.33	8	13.33	0
47	pixel	125	22	980	920.33	7	13.33	0
48	pixel	125	23	1477	669.33	7	13.33	0
49	pixel	125	24	1608	784.33	7	13.33	0
50	pixel	125	25	2090	1011.33	8	13.33	0
51	pixel	125	26	1977	887.33	8	13.33	0
52	pixel	125	27	2362	718.33	8	13.33	0
53	pixel	125	28	1722	1305.33	8	13.33	0
54	pixel	125	29	2047	1250.33	8	13.33	0
55	pixel	125	30	2238	1256.33	7	13.33	0
56	pixel	125	31	2453	2247.33	7	13.33	0
57	pixel	125	32	1690	815.33	10	13.33	0
58	pixel	125	33	1866	441.33	9	13.33	0
59	pixel	125	34	2505	831.33	9	13.33	0
60	pixel	125	35	2193	1445.33	9	13.33	0
61	pixel	125	36	2046	1421.33	10	13.33	0
62	pixel	125	37	2267	1242.33	10	13.33	0
63	pixel	125	38	1365	2185.33	9	13.33	0
64	pixel	125	39	1216	1997.33	9	13.33	0
65	pixel	125	40	1451	1966.33	9	13.33	0
66	pixel	125	41	2522	2021.33	9	13.33	0
67	pixel	125	42	2841	464.33	9	13.33	0
68	pixel	125	43	2412	508.33	10	13.33	0
69	pixel	125	44	1257	1833.33	9	13.33	0
70	pixel	125	45	1615	868.33	12	13.33	0
71	pixel	125	46	1366	550.33	11	13.33	0
72	pixel	125	47	2407	1183.33	12	13.33	0
73	pixel	125	48	2623	471.33	12	13.33	0
74	pixel	125	49	1733	2107.33	11	13.33	0
75	pixel	125	50	1207	1842.33	12	13.33	0
76	pixel	125	51	1360	2085.33	12	13.33	0
77	pixel	125	52	1704	1336.33	12	13.33	0
78	pixel	125	53	1124	2026.33	11	13.33	0
79	pixel	125	54	2583	1364.33	11	13.33	0
80	pixel	125	55	2355	523.33	14	13.33	0
